
	SOrg.	Delivery	Item	Material	Item Description	 Dlv.Qty	SU	Batch	OPS	PickingSts	WM	GM	Route	Sp.Stck No	Sold-to	Name of Sold-to Party	Pur. Doc.	TrpPlanDt
	3000	328510877	  10	412689	DX cartucho 6.8/11 M10 STD pardo	    100	PC					A	ZMX998		18469073	COPIISA OFFSHORE	574106548	27.02.2025
	3000	328510878	  10	412689	DX cartucho 6.8/11 M10 STD pardo	    100	PC					A	ZMX998		18469073	COPIISA OFFSHORE	574184151	27.02.2025
	3000	328510879	  10	2079843	Cubierta de protección D115	      1	PC					A	ZMX998		15413440	GRUPO DAGS	574250693	27.02.2025
	3000	328510880	  10	2210796	DX cartucho 6.8/11 M10 rojo	  8.000	PC					A	ZMX998		16623943	ADOLFO GERARDO AYALA ROSAS	574202314	27.02.2025
	3000	328510881	  10	336429	Anclaje de expansión HDI 3/4"	    100	PC					A	ZMX998		27529034	PROSISA IMC DE MEXICO	574453469	27.02.2025
	3000	328510881	  20	2058129	Anclaje de expansión HDI+ 3/8"	    100	PC					A	ZMX998		27529034	PROSISA IMC DE MEXICO	574453469	27.02.2025
	8300	328551166	  10	2264470	Peça de base INKO-M BM-M6-ME6-13-2.2 SS	    320	PC					A	ZBR888		16895575	ONESUBSEA DO BRASIL LTDA.	5798315	22.01.2025
	8300	328551166	  20	2264470	Peça de base INKO-M BM-M6-ME6-13-2.2 SS	     50	PC					A	ZBR888		16895575	ONESUBSEA DO BRASIL LTDA.	5798315	22.01.2025
	8300	328551167	  10	2281309	Peça de base INKO-M BO 6-13 10.2 SS	      8	PC					A	ZBR888		16895575	ONESUBSEA DO BRASIL LTDA.	5798590	22.01.2025
	8300	328551167	  20	2320401	Peça de base INKO-M BO 6-13 8.2 SS	      8	PC					A	ZBR888		16895575	ONESUBSEA DO BRASIL LTDA.	5798590	22.01.2025
	8300	328551170	  10	2320401	Peça de base INKO-M BO 6-13 8.2 SS	      4	PC					A	ZBR888		16895575	ONESUBSEA DO BRASIL LTDA.	5798591	22.01.2025
	8300	328551170	  20	2281309	Peça de base INKO-M BO 6-13 10.2 SS	      4	PC					A	ZBR888		16895575	ONESUBSEA DO BRASIL LTDA.	5798591	22.01.2025
	8300	328551172	  10	2320401	Peça de base INKO-M BO 6-13 8.2 SS	     10	PC					A	ZBR888		16895575	ONESUBSEA DO BRASIL LTDA.	5798592	22.01.2025
	8300	328551172	  20	2281309	Peça de base INKO-M BO 6-13 10.2 SS	      8	PC					A	ZBR888		16895575	ONESUBSEA DO BRASIL LTDA.	5798592	22.01.2025
	8300	328551176	  10	2320401	Peça de base INKO-M BO 6-13 8.2 SS	     27	PC					A	ZBR888		16895575	ONESUBSEA DO BRASIL LTDA.	5798593	22.01.2025
	3000	328562565	  10	2232984	Escuadra de sujeción PMA 93	      1	PC					A	ZMX998		19042043	SEARS OPERADORA MEXICO	574485888	13.02.2025
	3000	328562628	  10	2251355	Batería B 22-110 Li-ion	      1	PC					A	ZMX998		31598013	SERVICIOS DE INGENIERIA Y	574612215	13.02.2025
	3000	328570003	  10	2156391	Clavo de alto rendimiento X-P 24 B3 MX B	 30.000	PC					A	ZMX998		16623943	ADOLFO GERARDO AYALA ROSAS	574603044	13.02.2025
	3000	328595839	  10	2254757	Espatula para asfalto TE-HX AC 50/12	      1	PC					A	ZMXA01		16131153	RAAL EDIFICACIONES Y PROYECTOS	574573575	11.02.2025
	8300	328644508	  10	2261779	Coroa BI 14/320 SP-L abras.	      5	PC					A	ZBR888		31044054	ELECNOR AZULAO SPE LTDA	574624223	20.02.2025
	8300	328644508	  20	2076475	Coroa C+ 1"/12" SPX-T abras.	     12	PC					A	ZBR888		31044054	ELECNOR AZULAO SPE LTDA	574624223	20.02.2025
	8300	328644508	  30	2076468	Coroa C+ 3/4"/12" SPX-T abras.	     11	PC					A	ZBR888		31044054	ELECNOR AZULAO SPE LTDA	574624223	20.02.2025
	8300	328650619	  10	2076508	Coroa C+ 22/300 SPX-T	      4	PC					A	ZBR888		29429035	TSE S/A	574601897	20.02.2025
	8300	328712686	  10	2251355	Bateria B 22-110 Li-ion	      2	PC					A	ZBR888		18702170	ANGLOGOLD ASHANTI CUIABÁ	574634784	27.02.2025
	8300	328712686	  20	2333283	Carreg. bateria C 6-22 220V caixa	      1	PC					A	ZBR888		18702170	ANGLOGOLD ASHANTI CUIABÁ	574634784	27.02.2025
	3000	328727415	  10	2229029	DX cartucho 6,8/11 M10 BK negro	    100	PC					A	ZMXA02		19148609	OBHIELCI	574635018	24.02.2025
	3000	328752057	  10	206515	Broca para taladro TE-YX 5/8"-36"	      2	PC					A	ZMX998		29187844	DESARROLLADORA DE INFRAESTRUCTURA	574605552	04.03.2025
	3000	328804870	  10	2210796	DX cartucho 6.8/11 M10 rojo	  1.000	PC					A	ZMXA02		15413099	PROTEINA ANIMAL	574647442	04.03.2025
	3000	328805604	  10	2210793	DX cartucho 6.8/11 M10 rojo	  5.000	PC					A	ZMXA02		24196851	CONTRAVENTO ARQUITECTURA	574647713	04.03.2025
	3000	328805606	  10	2210794	DX cartucho 6.8/11 M10 verde	  3.000	PC					A	ZMXA01		15418653	FREYSSINET DE MEXICO	574647786	04.03.2025
	3000	328829431	  10	2243290	Disco de pulido AF-D 115 P36-40 SP	    100	PC					A	ZMX998		25881146	SOLUCIONES EN INGENIERIA DE VAPOR	574602992	12.03.2025
	3000	328830651	  10	2210796	DX cartucho 6.8/11 M10 rojo	 20.000	PC					A	ZMXA05		15418657	FRISA FORJADOS	574651718	06.03.2025
	3000	328831070	  10	206515	Broca para taladro TE-YX 5/8"-36"	      2	PC					A	ZMX998		29187844	DESARROLLADORA DE INFRAESTRUCTURA	574605552	11.03.2025
	3000	328850719	  10	412689	DX cartucho 6.8/11 M10 STD pardo	  5.000	PC					A	ZMXA02		29412333	ICA FLUOR DANIEL	574651988	07.03.2025
	8300	328870875	  10	2030020	Tijolo intumescente CFS-BL	     30	PC					A	ZBR888		28861658	USINAS ITAMARATI S A	574589963	13.03.2025
	3000	328872844	  10	2025907	Broca para taladro TE-CX 1/4"-8" MP8	      8	PC					A	ZMX998		25881146	SOLUCIONES EN INGENIERIA DE VAPOR	574602992	14.03.2025
	8300	328904354	  10	2334277	Químico injeção HY 200-R V3 500/1/WH	     10	PC					A	ZBR888		16882489	SYLVAMO DO BRASIL LTDA	574660370	18.03.2025
	8300	328904354	  20	2334277	Químico injeção HY 200-R V3 500/1/WH	      5	PC					A	ZBR888		16882489	SYLVAMO DO BRASIL LTDA	574660370	18.03.2025
	8300	328904355	  10	2334277	Químico injeção HY 200-R V3 500/1/WH	      3	PC					A	ZBR888		18387575	ROMI SA	574660379	18.03.2025
	8300	328904355	  20	337111	Bico misturador HIT-RE-M	     10	PC					A	ZBR888		18387575	ROMI SA	574660379	18.03.2025
	8300	328918014	  10	2251355	Bateria B 22-110 Li-ion	      2	PC					A	ZBR888		16902430	SPRINGER CARRIER LTDA	574662629	18.03.2025
	8300	328918014	  20	2333283	Carreg. bateria C 6-22 220V caixa	      1	PC					A	ZBR888		16902430	SPRINGER CARRIER LTDA	574662629	18.03.2025
	8300	328938196	  10	2123404	Químico injeção HIT-RE 500 V3/500/1	     40	PC					A	ZBR888		29429035	TSE S/A	574666112	20.03.2025
	3000	328943690	  10	416484	DX cartucho 6.8/18 M10 STD rojo	  9.000	PC					A	ZMXA04		22844987	EMNO	574662855	14.03.2025
	3000	328944039	  10	3852561	Tornillo cab. hex. 5/16" x 2" galv. (MX)	 32.200	PC					A	ZMX998		30275255	COMBAND DTH	574664942	24.03.2025
	8300	328957853	  10	2197999	Varão de bucha HAS-E-55 3/4"x10"	      5	PAC					A	ZBR888		17973539	CMPC CELULOSE RIOGRANDENSE LTDA	574638099	05.03.2025
	3000	328959184	  10	2121127	Amoladora angular AG 500-11S 120V	      2	PC					A	ZMX998		29946686	AVANCE Y DESARROLLO INTELECTUAL	2103744078	25.03.2025
	8300	328964278	  10	2264477	Peça de base INKO-M BM-M6-ME6-13 1.2 SS	    250	PC					A	ZBR888		16895575	ONESUBSEA DO BRASIL LTDA.	5798319	17.03.2025
	8300	328964309	  10	2210795	Cartucho DX 6.8/11 M10 amarelo	     17	PAC					A	ZBR888		24806356	GERDAU S.A.	5800436	21.03.2025
	8300	328964319	  10	2197977	Varão de bucha HAS-B-105 HDG 3/4"x20"	      2	PAC					A	ZBR888		16906226	DELTA DUCON ENGENHARIA E	574557499	20.03.2025
	8300	328964347	  10	2210795	Cartucho DX 6.8/11 M10 amarelo	     20	PAC					A	ZBR888		25182944	GERDAU SUMMIT ACOS FUNDIDOS	574668718	21.03.2025
	8300	328980045	  10	2254883	Aparaf/berbequim bat. SF 6H-22 mala	      3	PC					A	ZBR888		16888192	COMPANHIA BRASILEIRA DE ALUMINIO	574670893	24.03.2025
	8300	328980045	  20	2112534	Chave impacto a bat. SIW 6AT-A22 mala	      3	PC					A	ZBR888		16888192	COMPANHIA BRASILEIRA DE ALUMINIO	574670893	24.03.2025
	3000	328990364	  10	416475	DX cartucho 6.8/11 M10 STD negro	  5.000	PC					A	ZMXA02		24804665	KEM ENERGIA CONSTRUCTORA	574673450	20.03.2025
	8300	329000082	  10	2216423	Adaptador OS OPS-SD AD01-B SS	     62	PC					A	ZBRSG3		28134708	PETROLEO BRASILEIRO S A PETROBRAS	574674783	26.03.2025
	8300	329000082	  20	2216423	Adaptador OS OPS-SD AD01-B SS	      5	PC					A	ZBRSG3		28134708	PETROLEO BRASILEIRO S A PETROBRAS	574674783	26.03.2025
	8300	329004387	  10	2231456	Premium exp anc KB1 3/8x3 3/4	      2	PAC					A	ZBR888		20748336	SEW EURODRIVE BRASIL LTDA	574675442	26.03.2025
	3000	329031934	  10	2210796	DX cartucho 6.8/11 M10 rojo	 20.000	PC					A	ZMXA04		29071349	MAGNO OBRAS DUPIFONT	574679194	24.03.2025
	8300	329035058	  10	2162910	Martelo perfurador bateria TE 6-A22 caix	      1	PC					A	ZBR888		18702170	ANGLOGOLD ASHANTI CUIABÁ	574679546	28.03.2025
	8300	329035058	  20	2172833	Mandibula de corte NCT J ACSR	      1	PC					A	ZBR888		18702170	ANGLOGOLD ASHANTI CUIABÁ	574679546	28.03.2025
	8300	329035058	  30	2251355	Bateria B 22-110 Li-ion	      1	PC					A	ZBR888		18702170	ANGLOGOLD ASHANTI CUIABÁ	574679546	28.03.2025
	8300	329035058	  40	2251351	Bateria B 22-85 Li-ion	      3	PC					A	ZBR888		18702170	ANGLOGOLD ASHANTI CUIABÁ	574679546	28.03.2025
	8300	329035058	  50	2031389	Carreg. bateria C 4/36-90 220V caixa	      1	PC					A	ZBR888		18702170	ANGLOGOLD ASHANTI CUIABÁ	574679546	28.03.2025
	8300	329043053	  10	2021420	Martelo perfurador bateria TE 2-A22 mala	      1	PC					A	ZBR888		18722793	ANGLOGOLD ASHANTI - LAMEGO	574679768	28.03.2025
	8300	329043054	  10	2179726	Lâmina serra de sabre SP 30 10 (5) metal	     10	PC					A	ZBR888		16888521	MINERAÇÃO SERRA GRANDE	574679771	28.03.2025
	8300	329044531	  10	409175	Broca p/ perfurar TE-CX 8/12	    100	PC					A	ZBR888		18702170	ANGLOGOLD ASHANTI CUIABÁ	574679546	31.03.2025
	3000	329050045	  10	2070404	Vaso de impacto SI-S 1/2"-17 L th	      3	PC					A	ZMX998		15409763	MAPA SEGURIDAD	574681721	01.04.2025
	3000	329050326	  10	2360721	Hoja sierra circ. SCBM XCut Struc 136 (5	      5	PC					A	ZMX998		15409763	MAPA SEGURIDAD	574681721	01.04.2025
	8300	329050795	  10	2199633	Coroa BI 25/320 SP-L abras.	      4	PC					A	ZBR888		16899033	PRIMETALS TECHNOLOGIES BRAZIL	574681781	31.03.2025
	3000	329053492	  10	2210256	Ultimate exp anc KB-TZ2 1/2x5 1/2	     20	PC					A	ZMX998		15412973	MAQUILAS Y MANUFACTURAS METALICAS	574681985	01.04.2025
	8300	329058341	  10	2223019	Placa lã de rocha 1200x600x50 160 kg/m3	     10	PC					A	ZBR888		21427802	WEG EQUIPAMENTOS ELETRICOS S A	5800685	31.03.2025
	8300	329058341	  20	2281190	Pintura ablativa CP 670 17,5kg	      1	PC					A	ZBR888		21427802	WEG EQUIPAMENTOS ELETRICOS S A	5800685	31.03.2025
	8300	329058456	  10	2398669	Fire protec. cab. coating CP 679A Plus	      8	PC					A	ZBR888		16891618	KLABIN S A	574681832	31.03.2025
	8300	329058463	  10	2222545	Químico injeção HIT-RE 100-HC 580/1	      5	PC					A	ZBRSW5		16907089	FFB PARTICIPACOES E CONSTRUCOES	574681879	31.03.2025
	8300	329060495	  10	2123993	Prego para betão X-C 20 B3 MX	      1	PAC					A	ZBRSE3		16885204	PLAENGE EMPREENDIMENTOS LTDA	574683080	01.04.2025
	8300	329060495	  20	2123994	Prego para betão X-C 24 B3 MX	     37	PAC					A	ZBRSE3		16885204	PLAENGE EMPREENDIMENTOS LTDA	574683080	01.04.2025
	8300	329060495	  30	2207024	Arruela Cônica X-CW S23	    154	PAC					A	ZBRSE3		16885204	PLAENGE EMPREENDIMENTOS LTDA	574683080	01.04.2025
	8300	329060495	  40	2149226	Univ. cable tie holder X-UCT-E MX	     22	PAC					A	ZBRSE3		16885204	PLAENGE EMPREENDIMENTOS LTDA	574683080	01.04.2025
	8300	329060756	  10	2133384	Fita intumesc. em rolo CFS-W P	     31	PC					A	ZBRSE3		16885204	PLAENGE EMPREENDIMENTOS LTDA	574683096	01.04.2025
	8300	329060756	  20	2123994	Prego para betão X-C 24 B3 MX	      2	PAC					A	ZBRSE3		16885204	PLAENGE EMPREENDIMENTOS LTDA	574683096	01.04.2025
	8300	329060756	  30	2207024	Arruela Cônica X-CW S23	      1	PAC					A	ZBRSE3		16885204	PLAENGE EMPREENDIMENTOS LTDA	574683096	01.04.2025
	8300	329060756	  40	2149226	Univ. cable tie holder X-UCT-E MX	      2	PAC					A	ZBRSE3		16885204	PLAENGE EMPREENDIMENTOS LTDA	574683096	01.04.2025
	3000	329064523	  10	2246927	Riser FOE150 RI1-IN-90-450-R400 FRP	      2	PC					A	ZMXA04		21721388	METALURGICA DE COBRE	671740862	26.03.2025
	3000	329064523	  20	2205452	Riser FOE150 RI1-IN-90-150-R400 FRP	      4	PC					A	ZMXA04		21721388	METALURGICA DE COBRE	671740862	26.03.2025
	3000	329064523	  30	2239373	Ladder OS FOE-150GA CL-450-3 FRP	     15	M					A	ZMXA04		21721388	METALURGICA DE COBRE	671740862	26.03.2025
	3000	329064523	  40	2205472	Ladder OS FOE-150GA-CL-150-3000 FRP	     30	M					A	ZMXA04		21721388	METALURGICA DE COBRE	671740862	26.03.2025
	3000	329064523	  50	2313767	Cubierta FOE CO-CL-RP-450 FRP	      5	PC					A	ZMXA04		21721388	METALURGICA DE COBRE	671740862	26.03.2025
	3000	329064523	  60	2230504	Splice connector OS FOE-150 SC	     20	PC					A	ZMXA04		21721388	METALURGICA DE COBRE	671740862	26.03.2025
	8300	329066756	  10	2123994	Prego para betão X-C 24 B3 MX	      3	PAC					A	ZBRSI2		30695382	THE OCEAN EMPREENDIMENTOS	574683898	01.04.2025
	8300	329066756	  20	2207024	Arruela Cônica X-CW S23	     15	PAC					A	ZBRSI2		30695382	THE OCEAN EMPREENDIMENTOS	574683898	01.04.2025
	3000	329067322	  10	416475	DX cartucho 6.8/11 M10 STD negro	 15.000	PC					A	ZMXA04		29015313	ICA FLUOR DANIEL	574684085	27.03.2025
	8300	329074814	  10	2378318	Controlo remoto / receptor laser PRA 30	      1	PC					A	ZBRSF6		31586785	CYRELA LOTUS EMPREENDIMENTOS	574681809	31.03.2025
	8300	329074814	  20	2378314	Receptor laser PRA 20	      1	PC					A	ZBRSF6		31586785	CYRELA LOTUS EMPREENDIMENTOS	574681809	31.03.2025
	8300	329074814	  30	2333570	Bateria B 12-30 Li-ion	      3	PC					A	ZBRSF6		31586785	CYRELA LOTUS EMPREENDIMENTOS	574681809	31.03.2025
	8300	329074814	  40	2372878	Carreg. bateria C 4/12-50 230V caixa	      1	PC					A	ZBRSF6		31586785	CYRELA LOTUS EMPREENDIMENTOS	574681809	31.03.2025
	8300	329074815	  10	2314529	Ferramenta fixação bateria BX 3-L-22 mal	      1	PC					A	ZBRSE3		31037722	MARCIA APARECIDA DE SOUZA	574681857	31.03.2025
	8300	329074815	  20	2251351	Bateria B 22-85 Li-ion	      1	PC					A	ZBRSE3		31037722	MARCIA APARECIDA DE SOUZA	574681857	31.03.2025
	8300	329074815	  30	2388394	Carreg. bateria C 4-22 220V caixa	      1	PC					A	ZBRSE3		31037722	MARCIA APARECIDA DE SOUZA	574681857	31.03.2025
	8300	329074815	  40	2179350	Suporte de anilha X-WHC B3 02 embal.	      1	PC					A	ZBRSE3		31037722	MARCIA APARECIDA DE SOUZA	574681857	31.03.2025
	8300	329074815	  50	2179276	Guia cavilhas X-FG B3-ME 02 embal.	      1	PC					A	ZBRSE3		31037722	MARCIA APARECIDA DE SOUZA	574681857	31.03.2025
	8300	329074816	  10	2122713	Martelo perf. TE 3-ML 220V mala	      1	PC					A	ZBRSD7		16884200	GEOFIX ENGENHARIA FUNDACOES E	574681939	31.03.2025
	8300	329074816	  20	2388394	Carreg. bateria C 4-22 220V caixa	      1	PC					A	ZBRSD7		16884200	GEOFIX ENGENHARIA FUNDACOES E	574681939	31.03.2025
	8300	329074816	  30	2251355	Bateria B 22-110 Li-ion	      1	PC					A	ZBRSD7		16884200	GEOFIX ENGENHARIA FUNDACOES E	574681939	31.03.2025
	8300	329074817	  10	2005641	Dispensador HDM 500 caixa	      1	PC					A	ZBRSD7		16898291	SIEMENS LTDA	574684034	01.04.2025
	8300	329074817	  20	2123404	Químico injeção HIT-RE 500 V3/500/1	      6	PC					A	ZBRSD7		16898291	SIEMENS LTDA	574684034	01.04.2025
	8300	329074817	  30	337111	Bico misturador HIT-RE-M	      6	PC					A	ZBRSD7		16898291	SIEMENS LTDA	574684034	01.04.2025
	8300	329074822	  10	2206743	Broca p/ perfurar TE-CX 3/4"-18"	      1	PC					A	ZBRSD7		31246018	FF INSTALACOES METALICAS LIMITADA	574684127	01.04.2025
	8300	329074822	  20	2165749	Broca p/ perfurar TE-YX 3/4"-13"	      4	PC					A	ZBRSD7		31246018	FF INSTALACOES METALICAS LIMITADA	574684127	01.04.2025
	8300	329074822	  30	409188	Broca p/ perfurar TE-CX 10/17	     10	PC					A	ZBRSD7		31246018	FF INSTALACOES METALICAS LIMITADA	574684127	01.04.2025
	8300	329074824	  10	2261730	Coroa B 112/430+ P-U abras.	      3	PC					A	ZBRSD3		31456114	FUTURA 29 SPE EMPREENDIMENTO LTDA	574684165	01.04.2025
	8300	329074824	  20	2261727	Coroa B 77/430+ P-U abras.	      3	PC					A	ZBRSD3		31456114	FUTURA 29 SPE EMPREENDIMENTO LTDA	574684165	01.04.2025
	8300	329074824	  30	2261736	Coroa B 162/430+ P-U abras.	      3	PC					A	ZBRSD3		31456114	FUTURA 29 SPE EMPREENDIMENTO LTDA	574684165	01.04.2025
	8300	329074824	  40	2261752	Coroa B 47/430 P-U abras.	      3	PC					A	ZBRSD3		31456114	FUTURA 29 SPE EMPREENDIMENTO LTDA	574684165	01.04.2025
	8300	329074826	  10	2123404	Químico injeção HIT-RE 500 V3/500/1	      7	PC					A	ZBRSD3		30652540	PROJETO IMOBILIARIO DI 11 SPE LTDA	574684175	01.04.2025
	8300	329074826	  20	2007057	Porta-cartucho HIT-CB 500	      1	PC					A	ZBRSD3		30652540	PROJETO IMOBILIARIO DI 11 SPE LTDA	574684175	01.04.2025
	8300	329074826	  30	2005641	Dispensador HDM 500 caixa	      2	PC					A	ZBRSD3		30652540	PROJETO IMOBILIARIO DI 11 SPE LTDA	574684175	01.04.2025
	8300	329074829	  10	2411684	Dust extractor VC 40LX 220-240V	      1	PC					A	ZBRSB4		31416702	QRTZ 28 INCORPORACOES DE IMOV	574684191	01.04.2025
	8300	329074829	  20	2283202	Polidora de betão DGH 130 230V	      1	PC					A	ZBRSB4		31416702	QRTZ 28 INCORPORACOES DE IMOV	574684191	01.04.2025
	8300	329075951	  10	215197	Ponta de centragem DD 110-D DD-SA-RK BI+	      3	PC					A	ZBRSF6		31499334	FELICIANO SODRE EMPREENDIMENTO	574662732	18.03.2025
	8300	329075954	  10	2163394	Mandibula de cravação NCR J SU BULK	      1	PC					A	ZBR888		18632697	MINERACAO CARAIBA S A	574684303	01.04.2025
	8300	329075954	  20	2335259	Cravadora NUN 054 IE-A22	      1	PC					A	ZBR888		18632697	MINERACAO CARAIBA S A	574684303	01.04.2025
	8300	329075956	  10	2117966	Disco de corte EQD SPX 305/22 univ	      1	PC					A	ZBR888		16903109	HITA COMERCIO E SERVICOS SA	574685045	01.04.2025
	8300	329075956	  20	2080046	Fixação de expansão HDI+ 1/2"	    200	PC					A	ZBR888		16903109	HITA COMERCIO E SERVICOS SA	574685045	01.04.2025
	8300	329076069	  10	203517	Espuma anti-fogo CP 660 INT	      3	PC					A	ZBR888		31522902	J DE A TOME	5800707	01.04.2025
	8300	329076150	  10	2123994	Prego para betão X-C 24 B3 MX	      4	PAC					A	ZBRSF3		30686619	CWB06 BOSQUE DOS PINHEIROS	574685251	01.04.2025
	8300	329076150	  20	2207024	Arruela Cônica X-CW S23	     21	PAC					A	ZBRSF3		30686619	CWB06 BOSQUE DOS PINHEIROS	574685251	01.04.2025
	8300	329076542	  10	2222545	Químico injeção HIT-RE 100-HC 580/1	     80	PC					A	ZBRSD3		29351700	PROJETO IMOBILIARIO E	574684166	01.04.2025
	8300	329076542	  20	2005641	Dispensador HDM 500 caixa	      1	PC					A	ZBRSD3		29351700	PROJETO IMOBILIARIO E	574684166	01.04.2025
	8300	329076852	  10	2261806	Módulo subst. (coroa) 52 P-U abras.	      2	PC					A	ZBRSI2		23993202	POSITIVA CONSTRUTORA E	574679074	16.04.2025
	8300	329077056	  10	2261816	Módulo subst. (coroa) 132 P-U abras.	      2	PC					A	ZBRSI2		29101743	EFETIVA INSTALACOES	574679132	28.03.2025
