
		SOrg.	SaTy	Sales Doc.	Sold-to	Name 1	Ship-to	Name 1	CustLoy	Foc.Cust	Territory	Created On	Typ	Material	Item Description	Order Qty	Corr.qty	ConfirmQty	SU	      BO value	Crcy	InitReqDt	promised	Mat.Av.Dt.	Dlv.Date	DS	DB	BOstatus	BO	   BO status changed	GM	unc.	Description	Shp. Cond.	Route	Req.dlv.dt
		8650	ZRO	7211223569	23945446	CONSTRUCTORA ALTIUS SPA	24465384	1650 EDIFICIO LUIS PEREIRA		X	TCL3300016	01.03.2018	ND	203086	Grasa Turmogrease BIO LC 1302 (50ml)	       1	      1	        1	PC		CLP	01.03.2018	06.03.2018	05.03.2018	06.03.2018	A	06	Unproc	X	 05.03.2018 19:25:12	A		REPAIR PARTS	0E	ZCL915	01.03.2018
		8650	ZRO	7211228229	15915930	CIA.MINERA SAN GERONIMO	15915930	CIA.MINERA SAN GERONIMO		X	TCL2600018	01.03.2018	ND	203086	Grasa Turmogrease BIO LC 1302 (50ml)	       1	      1	        1	PC		CLP	01.03.2018	08.03.2018	06.03.2018	08.03.2018	A	06	Unproc	X	 06.03.2018 17:50:42	A		REPAIR PARTS	0E	ZCL121	01.03.2018
		8650	ZRO	7211233227	22689806	BUILDING ARRIENDOS LTDA	22991414	BUILDING ARRIENDOS LTDA		X	TCL3100021	01.03.2018	ND	203086	Grasa Turmogrease BIO LC 1302 (50ml)	       1	      1	        1	PC		CLP	01.03.2018	05.03.2018	05.03.2018	05.03.2018	A	06	Unproc	X	 05.03.2018 16:28:29	A		REPAIR PARTS	0E	ZCL915	01.03.2018
		8650	ZRO	7211235828	22136540	ARRIENDOS Y TRANSPORTES S Y C	24637979	LICEO BICENTENARIO			TCL3700011	01.03.2018	ND	203086	Grasa Turmogrease BIO LC 1302 (50ml)	       1	      1	        1	PC		CLP	01.03.2018	08.03.2018	06.03.2018	08.03.2018	A	06	Unproc	X	 06.03.2018 18:43:50	A		REPAIR PARTS	0E	ZCL121	01.03.2018
		8650	ZRO	7211238815	17036262	CONSTRUCTORA SU KSA S A	23256523	SUKSA TOOLS			TCL3400018	01.03.2018	ND	203086	Grasa Turmogrease BIO LC 1302 (50ml)	       1	      1	        1	PC		CLP	01.03.2018	06.03.2018	05.03.2018	06.03.2018	A	06	Unproc	X	 05.03.2018 18:33:27	A		REPAIR PARTS	0E	ZCL915	01.03.2018
		8650	ZRO	7211241608	15917651	CONSTRUCTORA ECOMAC S A	24930707	GABRIELA MISTRAL II		X	TCL3100017	01.03.2018	ND	203086	Grasa Turmogrease BIO LC 1302 (50ml)	       1	      1	        1	PC		CLP	01.03.2018	08.03.2018	06.03.2018	08.03.2018	A	06	Unproc	X	 06.03.2018 18:48:20	A		REPAIR PARTS	0E	ZCL121	01.03.2018
		8650	ZRO	7211242015	22833632	VCGP ASTALDI INGENIERIA Y	22860879	AEROPUERTO ARTURO MERINO BENITEZ		X	TCL3100011	01.03.2018	ND	203086	Grasa Turmogrease BIO LC 1302 (50ml)	       1	      1	        1	PC		CLP	01.03.2018	06.03.2018	05.03.2018	06.03.2018	A	06	Unproc	X	 05.03.2018 19:03:45	A		REPAIR PARTS	0E	ZCL915	01.03.2018
		8650	ZRO	7211204895	15919867	CONSTRUCTORA VAIN LTDA	24155604	SANTA SOFIA 3		X	TCL3100010	02.03.2018	ND	203086	Grasa Turmogrease BIO LC 1302 (50ml)	       1	      1	        1	PC		CLP	02.03.2018	06.03.2018	06.03.2018	06.03.2018	A	06	Unproc	X	 06.03.2018 16:37:34	A		REPAIR PARTS	0E	ZCL915	02.03.2018
		8650	ZRO	7211224857	23613838	F Y B ARRIENDOS SPA	24902312	F Y B ARRIENDOS SPA		X	TCL3100021	02.03.2018	ND	203086	Grasa Turmogrease BIO LC 1302 (50ml)	       1	      1	        1	PC		CLP	02.03.2018	06.03.2018	05.03.2018	06.03.2018	A	06	Unproc	X	 05.03.2018 20:20:33	A		REPAIR PARTS	0E	ZCL915	02.03.2018
		8650	ZRO	7211224858	23613838	F Y B ARRIENDOS SPA	24902312	F Y B ARRIENDOS SPA		X	TCL3100021	02.03.2018	ND	203086	Grasa Turmogrease BIO LC 1302 (50ml)	       1	      1	        1	PC		CLP	02.03.2018	06.03.2018	05.03.2018	06.03.2018	A	06	Unproc	X	 05.03.2018 20:22:13	A		REPAIR PARTS	0E	ZCL915	02.03.2018
		8650	ZRO	7211248410	23613838	F Y B ARRIENDOS SPA	24902312	F Y B ARRIENDOS SPA		X	TCL3100021	02.03.2018	ND	203086	Grasa Turmogrease BIO LC 1302 (50ml)	       1	      1	        1	PC		CLP	02.03.2018	06.03.2018	05.03.2018	06.03.2018	A	06	Unproc	X	 05.03.2018 20:05:13	A		REPAIR PARTS	0E	ZCL915	02.03.2018
		8650	ZRO	7211252802	23613838	F Y B ARRIENDOS SPA	24902312	F Y B ARRIENDOS SPA		X	TCL3100021	02.03.2018	ND	203086	Grasa Turmogrease BIO LC 1302 (50ml)	       1	      1	        1	PC		CLP	02.03.2018	06.03.2018	05.03.2018	06.03.2018	A	06	Unproc	X	 05.03.2018 20:03:58	A		REPAIR PARTS	0E	ZCL915	02.03.2018
		8650	ZRO	7211549970	15921558	YERKO SIMUNOVIC PETRIC	15921558	YERKO SIMUNOVIC PETRIC			TCL5100010	10.04.2018	X6	282143	Porta escobillas cpl	       2	      2	        2	PC	-444.420	CLP	10.04.2018	16.04.2018	04.01.2021	04.01.2021	A		Unproc	X	 13.04.2018 14:54:38	A		REPAIR PARTS	0F	ZCL913	10.04.2018
		8650	ZRO	7212023889	15925430	EBCO S.A.	25056738	NUCLEO SAN DIEGO		X	TCL3300016	08.06.2018	X6	2078527	Cable de red TE 1000-AVR 220V 5m	       1	      1	        1	PC	-399.971	CLP	08.06.2018	14.06.2018	03.01.2022	03.01.2022	A		Unproc	X	 11.06.2018 19:02:01	A		REPAIR PARTS	ST	ZCL998	08.06.2018
		8650	ZRO	7212294024	23027463	CONSTRUCTORA FELIPE HERNAN	24513187	OBRA C05-2017-SANTA ANITA		X	TCL3300018	04.07.2018	X6	363927	Botón giratorio exterior	       1	      1	        1	PC		CLP	04.07.2018	19.07.2018	19.07.2018	19.07.2018	A		Unproc	X	 09.07.2018 16:32:25	A		Dayana Rodriquez	0E	ZCL915	04.07.2018
		8650	ZRO	7212480941	15918367	ICAFAL INGENIERIA Y CONSTRUCCION	15918367	ICAFAL INGENIERIA Y CONSTRUCCION		X	TCL3400013	25.07.2018	X6	355419	Mandril embal.	       1	      1	        1	PC	       31.378	CLP	25.07.2018	03.08.2018	17.10.2018	17.10.2018	A		Unproc	X	 30.07.2018 19:47:36	A		REPAIR PARTS	0E	ZCL915	25.07.2018
		8650	ZRO	7212484216	17909360	LD EQUIPOS Y MAQUINARIAS LIMITADA	17909360	LD EQUIPOS Y MAQUINARIAS LIMITADA			TCL3400015	25.07.2018	X6	2082936	Carcasa engranaje cpl	       1	      1	        1	PC	-218.193	CLP	25.07.2018	26.07.2018	26.07.2018	26.07.2018	A		Unproc	X	 26.07.2018 15:52:39	A		REPAIR PARTS	ST	ZCL998	25.07.2018
		8650	ZRO	7212747928	20418584	CONSTRUCTORA MAP LTDA.	20418584	CONSTRUCTORA MAP LTDA.		X	TCL3100017	30.08.2018	ND	203086	Hilti Grease 50ml	       1	      1	        1	PC		CLP	30.08.2018	12.09.2018	11.09.2018	12.09.2018	A		Unproc	X	 03.09.2018 19:31:13	A		REPAIR PARTS	0E	ZCL121	30.08.2018
		8650	ZRO	7212805622	19936822	ASTALDI SUCURSAL CHILE	23661572	ASTALDI OIM CC-13			TCL2600010	05.09.2018	X6	2115838	Varilla de mando TE60 cpl	       1	      1	        1	PC		CLP	05.09.2018	27.09.2018	26.09.2018	27.09.2018	A		Unproc	X	 26.09.2018 22:05:39	A		REPAIR PARTS	0E	ZCL915	05.09.2018
		8650	ZRO	7212805622	19936822	ASTALDI SUCURSAL CHILE	23661572	ASTALDI OIM CC-13			TCL2600010	05.09.2018	X6	356034	Excéntrica cpl	       1	      1	        1	PC		CLP	05.09.2018	27.09.2018	26.09.2018	27.09.2018	A		Unproc	X	 26.09.2018 22:05:39	A		REPAIR PARTS	0E	ZCL915	05.09.2018
		8650	ZRO	7213411577	15915357	CONST.BRIONES Y MARTINEZ LTDA.	24260058	OBRA VARAS MENA			TCL3100010	08.11.2018	X6	70716	Cable de red CH	       1	      1	        1	PC		CLP	08.11.2018	19.11.2018	19.11.2018	19.11.2018	A		Unproc	X	 09.11.2018 21:38:02	A		REPAIR PARTS	ST	ZCL915	08.11.2018
		8650	ZRO	7213411577	15915357	CONST.BRIONES Y MARTINEZ LTDA.	24260058	OBRA VARAS MENA			TCL3100010	08.11.2018	X6	2085894	Placa de cojinete M14 cpl	       1	      1	        1	PC		CLP	08.11.2018	19.11.2018	19.11.2018	19.11.2018	A		Unproc	X	 09.11.2018 21:38:02	A		REPAIR PARTS	ST	ZCL915	08.11.2018
		8650	ZRO	7213442506	15915357	CONST.BRIONES Y MARTINEZ LTDA.	24260058	OBRA VARAS MENA			TCL3100010	08.11.2018	X6	70716	Cable de red CH	       1	      1	        1	PC		CLP	08.11.2018	19.11.2018	19.11.2018	19.11.2018	A		Unproc	X	 09.11.2018 21:38:21	A		REPAIR PARTS	0E	ZCL915	08.11.2018
		8650	ZRO	7213442506	15915357	CONST.BRIONES Y MARTINEZ LTDA.	24260058	OBRA VARAS MENA			TCL3100010	08.11.2018	X6	2134607	Electrónica AG 230V	       1	      1	        1	PC		CLP	08.11.2018	19.11.2018	19.11.2018	19.11.2018	A		Unproc	X	 09.11.2018 21:38:21	A		REPAIR PARTS	0E	ZCL915	08.11.2018
		8650	ZRO	7213442506	15915357	CONST.BRIONES Y MARTINEZ LTDA.	24260058	OBRA VARAS MENA			TCL3100010	08.11.2018	X6	2080641	Carcasa engranaje cpl	       1	      1	        1	PC		CLP	08.11.2018	19.11.2018	19.11.2018	19.11.2018	A		Unproc	X	 09.11.2018 21:38:21	A		REPAIR PARTS	0E	ZCL915	08.11.2018
		8650	ZRO	7213442506	15915357	CONST.BRIONES Y MARTINEZ LTDA.	24260058	OBRA VARAS MENA			TCL3100010	08.11.2018	X6	2085894	Placa de cojinete M14 cpl	       1	      1	        1	PC		CLP	08.11.2018	19.11.2018	19.11.2018	19.11.2018	A		Unproc	X	 09.11.2018 21:38:21	A		REPAIR PARTS	0E	ZCL915	08.11.2018
		8650	ZRO	7213539312	20070960	TAKORA ARRIENDOS LTDA.	20126210	TAKORA ARRIENDOS LTDA.			TCL3100013	20.11.2018	ND	203086	Hilti Grease 50ml	       1	      1	        1	PC	-146.108	CLP	20.11.2018	06.12.2018	05.12.2018	06.12.2018	A		Unproc	X	 26.11.2018 16:59:47	A		REPAIR PARTS	0E	ZCL121	20.11.2018
		8650	ZRO	7213730597	22110173	SOC. DE INVERSIONES BUENA ESPERANZA	22110173	SOC. DE INVERSIONES BUENA ESPERANZA			TCL5100010	10.12.2018	X6	385106	Mandril DD-CS-BS	       1	      1	        1	PC	       25.920	CLP	10.12.2018	28.12.2018	04.01.2021	04.01.2021	A		Unproc	X	 12.12.2018 18:23:15	A		REPAIR PARTS	ST	ZCL998	10.12.2018
		8650	ZRO	7213730597	22110173	SOC. DE INVERSIONES BUENA ESPERANZA	22110173	SOC. DE INVERSIONES BUENA ESPERANZA			TCL5100010	10.12.2018	X6	2088013	Cabeza de enjuague DD 350 / 500 embal.	       1	      1	        1	PC	       22.279	CLP	10.12.2018	28.12.2018	04.01.2021	04.01.2021	A		Unproc	X	 17.12.2018 17:22:16	A		REPAIR PARTS	ST	ZCL998	10.12.2018
		8650	ZRO	7213794084	23414240	PERFORACIONES ROBERTO MEZA	23414240	PERFORACIONES ROBERTO MEZA			TCL3700018	17.12.2018	X6	93904	Torn.autor.cruciforme 3,9X19	       2	      2	        2	PC	-398.217	CLP	17.12.2018	21.12.2018	03.01.2023	03.01.2023	A		Unproc	X	 20.12.2018 20:27:31	A		REPAIR PARTS	ST	ZCL998	17.12.2018
		8650	ZRO	7213811453	21383320	INGERACK	25312316	LO AGUIRRE		X	TCL3500019	18.12.2018	X6	2082383	Porta escobillas TE3-C_01 220V-240V emba	       1	      1	        1	PC		CLP	18.12.2018	21.12.2018	04.01.2021	04.01.2021	A		Unproc	X	 19.12.2018 14:48:53	A		REPAIR PARTS	0E	ZCL915	18.12.2018
		8650	ZRO	7213911973	15915937	CONSTRUCTORA LAGO RINIHUE LTDA	25709442	OBRA 621 FORUS COSTANERA		X	TCL3300015	07.01.2019	X6	3123017	ENCHUFE MACHO NACIONAL 10 AMP	       1	      1	        1	PC	-214.265	CLP	07.01.2019	04.03.2019	04.03.2019	04.03.2019	A		Unproc	X	 08.01.2019 14:54:31	A		REPAIR PARTS	0E	ZCL915	07.01.2019
		8650	ZRO	7214102353	15917055	DESARROLLOS CONSTRUCTIVOS AXIS S.A.	15917055	DESARROLLOS CONSTRUCTIVOS AXIS S.A.		X	TCL3400012	25.01.2019	X6	321559	Mandril TE 1000/1500 embal.	       1	      1		PC	-143.331	CLP		15.02.2019		25.01.2019		Z3	Unproc	X	 14.02.2019 22:42:59		X	REPAIR PARTS	0E	ZCL915	25.01.2019
		8650	ZRO	7214235635	18126559	MONTAJES IND DANIEL A MADRID CASTRO	18126559	MONTAJES IND DANIEL A MADRID CASTRO			TCL2700021	08.02.2019	X6	2136396	Batería B 22/5.2 Li-ion	       1	      1		PC		CLP				08.02.2019		Z3	Unproc	X	 12.02.2019 17:25:35		X	NURON	0E	ZCL121	08.02.2019
		8650	ZRO	7214739539	CPD_CL0004	CLIENTES E (BOLETA) RM	CPD_CL0004	CLIENTES E (BOLETA) RM			TCL0000001	02.04.2019	X6	409299	Pistón 45/NK embal.	       1	      1	        1	PC		CLP	02.04.2019	11.04.2019	11.04.2019	11.04.2019	A		Unproc	X	 11.04.2019 15:30:43	A		REPAIR PARTS	ST	ZCL998	02.04.2019
		8650	ZRO	7217271139	15916203	POLEX CHILE S.A.	24471199	RED DE INCENDIO AEROPUERTO			TCL3400016	20.12.2019	X6	2119884	Cambio de velocidad SF 6(H)-A22 H/L hand	       1	      1		PC	        2.693	CLP				20.12.2019		Z3	Unproc	X	 27.12.2019 20:34:58		X	REPAIR PARTS	0E	ZCL915	20.12.2019
		8650	ZRO	7217271139	15916203	POLEX CHILE S.A.	24471199	RED DE INCENDIO AEROPUERTO			TCL3400016	20.12.2019	X6	2110779	Electrónica SF 6H-A FE	       1	      1		PC	       35.759	CLP				20.12.2019		Z3	Unproc	X	 27.12.2019 20:34:58		X	REPAIR PARTS	0E	ZCL915	20.12.2019
		8650	ZRO	7217291587	16149638	CONSTRUCTORA MAR ABIERTO LTDA	22782563	NUEVA COSTANERA			TCL3100015	24.12.2019	ND	203086	Hilti Grease 50ml	       1	      1	        1	PC	        5.257	CLP	24.12.2019	08.01.2020	06.01.2020	08.01.2020	A		Unproc	X	 30.12.2019 18:09:34	A		REPAIR PARTS	0E	ZCL122	24.12.2019
		8650	ZRO	7217308642	19499416	CONSTRUCTORA  DEL  BOSQUE LTDA.	26352332	CONSTRUCTORA  DEL  BOSQUE LTDA.		X	TCL3700016	30.12.2019	X6	363929	Enchufe hembra EU cpl	       1	      1	        1	PC		CLP	30.12.2019	12.02.2020	11.02.2020	12.02.2020	A		Unproc	X	 11.02.2020 13:15:19	A		REPAIR PARTS	0E	ZCL121	30.12.2019
		8650	ZRO	7217308642	19499416	CONSTRUCTORA  DEL  BOSQUE LTDA.	26352332	CONSTRUCTORA  DEL  BOSQUE LTDA.		X	TCL3700016	30.12.2019	X6	363958	Amortiguador de sonido	       1	      1	        1	PC		CLP	30.12.2019	12.02.2020	11.02.2020	12.02.2020	A		Unproc	X	 11.02.2020 13:15:19	A		REPAIR PARTS	0E	ZCL121	30.12.2019
		8650	ZRO	7217318304	15914674	DANACORP S.A.	21140782	230 - Santo Domingo			TCL3100012	02.01.2020	ND	203086	Hilti Grease 50ml	       1	      1	        1	PC		CLP	02.01.2020	06.01.2020	06.01.2020	06.01.2020	A		Unproc	X	 06.01.2020 13:53:46	A		REPAIR PARTS	0E	ZCL915	02.01.2020
		8650	ZRO	7217573236	15923311	INGENIERIA AVA MONTAJES  LTDA	24977887	Ppto 117 CTTO. MARCO DE CONST.		X	TCL2600013	28.01.2020	ND	2166577	NFC Label 25mm x 25mm robust	       2	      2	        2	PC	            2	CLP	28.01.2020	06.02.2020	04.02.2020	06.02.2020	A		Unproc	X	 03.02.2020 20:20:22	A		REPAIR PARTS	0E	ZCL122	28.01.2020
		8650	ZRO	7217573236	15923311	INGENIERIA AVA MONTAJES  LTDA	24977887	Ppto 117 CTTO. MARCO DE CONST.		X	TCL2600013	28.01.2020	X6	206121	Junta tórica 18.64X3.53	       1	      1	        1	PC	        2.731	CLP	28.01.2020	06.02.2020	04.02.2020	06.02.2020	A		Unproc	X	 03.02.2020 20:20:22	A		REPAIR PARTS	0E	ZCL122	28.01.2020
		8650	ZRO	7217573236	15923311	INGENIERIA AVA MONTAJES  LTDA	24977887	Ppto 117 CTTO. MARCO DE CONST.		X	TCL2600013	28.01.2020	X6	366095	Junta	       1	      1	        1	PC	       12.443	CLP	28.01.2020	06.02.2020	04.02.2020	06.02.2020	A		Unproc	X	 03.02.2020 20:20:22	A		REPAIR PARTS	0E	ZCL122	28.01.2020
		8650	ZRO	7217573236	15923311	INGENIERIA AVA MONTAJES  LTDA	24977887	Ppto 117 CTTO. MARCO DE CONST.		X	TCL2600013	28.01.2020	X6	17955	Junta tórica 24.99X3.53	       2	      2	        2	PC	        3.785	CLP	28.01.2020	06.02.2020	04.02.2020	06.02.2020	A		Unproc	X	 03.02.2020 20:20:22	A		REPAIR PARTS	0E	ZCL122	28.01.2020
		8650	ZRO	7217573236	15923311	INGENIERIA AVA MONTAJES  LTDA	24977887	Ppto 117 CTTO. MARCO DE CONST.		X	TCL2600013	28.01.2020	X6	330116	Anillo de junta 20,55X28X4,8	       1	      1	        1	PC	        5.591	CLP	28.01.2020	06.02.2020	04.02.2020	06.02.2020	A		Unproc	X	 03.02.2020 20:20:22	A		REPAIR PARTS	0E	ZCL122	28.01.2020
		8650	ZRO	7217573236	15923311	INGENIERIA AVA MONTAJES  LTDA	24977887	Ppto 117 CTTO. MARCO DE CONST.		X	TCL2600013	28.01.2020	X6	330166	Tapa	       1	      1	        1	PC	       12.357	CLP	28.01.2020	06.02.2020	04.02.2020	06.02.2020	A		Unproc	X	 03.02.2020 20:20:22	A		REPAIR PARTS	0E	ZCL122	28.01.2020
		8650	ZRO	7217573236	15923311	INGENIERIA AVA MONTAJES  LTDA	24977887	Ppto 117 CTTO. MARCO DE CONST.		X	TCL2600013	28.01.2020	X6	2164793	Cable de red TE 70-AVR_D_ATC (3) BR/CL/I	       1	      1	        1	PC	       23.003	CLP	28.01.2020	06.02.2020	04.02.2020	06.02.2020	A		Unproc	X	 03.02.2020 20:20:22	A		REPAIR PARTS	0E	ZCL122	28.01.2020
		8650	ZRO	7217925185	22833632	VCGP ASTALDI INGENIERIA Y	22860879	AEROPUERTO ARTURO MERINO BENITEZ		X	TCL3100011	02.03.2020	X6	2124734	Soporte de resorte	       1	      1	        1	PC	-245.625	CLP	02.03.2020	06.04.2020	20.04.2020	20.04.2020	A		Unproc	X	 06.03.2020 18:24:14	A		REPAIR PARTS	ST	ZCL998	02.03.2020
		8650	ZRO	7218614442	15920564	MAQSA SA	20520791	32011000 BODEGA MAQSA PUDAHUEL		X	TCL2500013	31.05.2020	X6	2166578	NFC Label 18mm x 18mm estándar	       1	      1	        1	PC		CLP	01.06.2020	09.06.2020	09.06.2020	09.06.2020	A		Unproc	X	 02.06.2020 18:12:17	A		REPAIR PARTS	ST	ZCL998	01.06.2020
		8650	ZRO	7219397859	26012509	REFRACTORY SOLUTIONS SPA	27262013	REFRACTORY SOLUTIONS SPA			TCL3700013	14.08.2020	ND	203086	Hilti Grease 50ml	       1	      1	        1	PC		CLP	14.08.2020	25.08.2020	24.08.2020	25.08.2020	A		Unproc	X	 17.08.2020 22:51:29	A		REPAIR PARTS	0E	ZCL121	14.08.2020
		8650	ZRO	7219504426	21519562	MONRABAL CHILE SPA	24887612	MONRABAL HOSPITAL DE CURICO			TCL3700011	26.08.2020	X6	400433	Mandril SFH 22-A cpl	       1	      1		PC	       14.519	CLP				26.08.2020			Unproc	X	 08.09.2020 21:42:26		X	REPAIR PARTS	0E	ZCL121	26.08.2020
		8650	ZRO	7219532353	15918874	ING Y CONST SIGDO KOPPERS SA	26304279	MAPA / SK OBRA 386 MONTAJE CIVIL		X	TCL2700012	28.08.2020	X6	2097797	Electrónica MMI ATC embal.	       1	      1	        1	PC	-400.000	CLP	28.08.2020	15.10.2020	14.10.2020	15.10.2020	A		Unproc	X	 14.10.2020 15:27:51	A		REPAIR PARTS	0E	ZCL103	28.08.2020
		8650	ZRO	7219532353	15918874	ING Y CONST SIGDO KOPPERS SA	26304279	MAPA / SK OBRA 386 MONTAJE CIVIL		X	TCL2700012	28.08.2020	X6	209355	Mazo de cables MMI	       1	      1	        1	PC		CLP	28.08.2020	15.10.2020	14.10.2020	15.10.2020	A		Unproc	X	 14.10.2020 15:27:51	A		REPAIR PARTS	0E	ZCL103	28.08.2020
		8650	ZRO	7219532354	15918874	ING Y CONST SIGDO KOPPERS SA	26304279	MAPA / SK OBRA 386 MONTAJE CIVIL		X	TCL2700012	28.08.2020	X6	2043011	Palpador TE 70-3 cpl	       1	      1	        1	PC	-395.565	CLP	28.08.2020	21.10.2020	20.10.2020	21.10.2020	A		Unproc	X	 20.10.2020 14:47:54	A		REPAIR PARTS	0E	ZCL103	28.08.2020
		8650	ZRO	7219693529	15919394	CONSTRUCTORA L Y D S.A.	26612139	AMPLIACION CLINICA BIO BIO		X	TCL3700013	14.09.2020	X6	321715	Estator TE 1500 embal.	       1	      1	        1	PC		CLP	14.09.2020	16.10.2020	15.10.2020	16.10.2020	A		Unproc	X	 07.10.2020 18:31:46	A		REPAIR PARTS	0E	ZCL103	14.09.2020
		8650	ZRO	7219762528	15922045	ING. Y CONST. EMCOMER LTDA.	27188563	CENTRAL CLINICA ODONT TALCAHUANO			TCL3700013	21.09.2020	X6	2092819	Bola DX 2_01 kit	       1	      1	        1	PC	        2.295	CLP	21.09.2020	25.09.2020	24.09.2020	25.09.2020	A		Unproc	X	 24.09.2020 17:11:10	A		REPAIR PARTS	0E	ZCL103	21.09.2020
		8650	ZRO	7219803347	22833632	VCGP ASTALDI INGENIERIA Y	22860879	AEROPUERTO ARTURO MERINO BENITEZ		X	TCL3100011	23.09.2020	X6	400433	Mandril SFH 22-A cpl	       1	      1	        1	PC		CLP	23.09.2020	01.10.2020	01.10.2020	01.10.2020	A		Unproc	X	 28.09.2020 14:44:44	A		REPAIR PARTS	0E	ZCL915	23.09.2020
		8650	ZRO	7221064460	20281355	CECILIA BETZABE ARAYA	26112074	BODEGA CENTRAL HERRAMIENTAS		X	TCL3100017	26.01.2021	X6	2198138	Campana antipolvo DGH 130	       1	      1	        1	PC		CLP	26.01.2021	01.02.2021	29.01.2021	01.02.2021	A		Unproc	X	 29.01.2021 13:20:02	A		REPAIR PARTS	0E	ZCL121	26.01.2021
		8650	ZRO	7221164368	CPD_CL0004	CLIENTES E (BOLETA) RM	CPD_CL0004	CLIENTES E (BOLETA) RM			TCL0000001	03.02.2021	X6	208557	Tapa carcasa motor	       1	      1	        1	PC	        2.799	CLP	03.02.2021	24.02.2021	24.02.2021	24.02.2021	A		Unproc	X	 05.02.2021 15:57:29	A		REPAIR PARTS	ST	ZCL998	03.02.2021
