13.09.2024                                                        Dynamic List Display                                                                                                                  1


		CoCd	Plnt	Material	SLoc	MvT	Mat. Doc.	Item	Pstng Date	  Qty in UnE	EUn	Material Description	PO	Movement Type Text	  Amount in LC	Quantity	Supplier	Rec	Mvt	Counter	TETy
		5241	8690	40619		101	5065748822	   1	19.03.2024	        100	PC	Pin with soft washer X-SW 60 C62	4536402637	GR st.in tr:ac.assg.	            0	    100		X	B		WE
		5241	8690	56419		101	5066149748	   1	26.04.2024	         25	PC	Scaffolding restraint screw GRS 12/120	4536628064	GR st.in tr:ac.assg.	            0	     25		X	B		WE
		5251	3090	60579		101	5067453266	   1	12.09.2024	          1	PC	Blow-out pump	4537325486	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	60579		101	5067155981	   1	12.08.2024	          1	PC	Blow-out pump	4537191219	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	60579		101	5067051133	   1	30.07.2024	          1	PC	Blow-out pump	4537131289	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	60579		101	5066519661	   1	05.06.2024	          1	PC	Blow-out pump	4536830686	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	60579		101	5066489777	   1	03.06.2024	          1	PC	Blow-out pump	4536798319	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	60579	0170	101	5066447251	   1	29.05.2024	          1	PC	Blow-out pump	4536762345	GR stock in transit	         0,00	      1		X	B		WE
		5251	3090	60579		101	5066272680	   1	10.05.2024	          1	PC	Blow-out pump	4536694503	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	60579		101	5066254088	   1	08.05.2024	          1	PC	Blow-out pump	4536655169	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	60579		101	5066012431	   1	15.04.2024	          1	PC	Blow-out pump	4536534065	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	60579		101	5065876423	   1	01.04.2024	          1	PC	Blow-out pump	4536449921	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	60579	0218	101	5065791900	   1	22.03.2024	          1	PC	Blow-out pump	4536363970	GR stock in transit	         0,00	      1		X	B		WE
		5251	3090	60579	0167	101	5065538055	   1	28.02.2024	          1	PC	Blow-out pump	4536281433	GR stock in transit	         0,00	      1		X	B		WE
		5251	3090	60579		101	5065434915	   1	19.02.2024	          1	PC	Blow-out pump	4536202937	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	60579		101	5065352101	   1	10.02.2024	          1	PC	Blow-out pump	4536158113	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	60579	0160	101	5065254513	   1	31.01.2024	          1	PC	Blow-out pump	4536110568	GR stock in transit	         0,00	      1		X	B		WE
		5251	3090	60579	0255	101	5065166330	   1	23.01.2024	          1	PC	Blow-out pump	4536070986	GR stock in transit	         0,00	      1		X	B		WE
		5241	8690	60579		101	5066748683	   1	27.06.2024	          1	PC	Blow-out pump	4536956392	GR st.in tr:ac.assg.	            0	      1		X	B		WE
		5241	8690	60579	0606	101	5065020346	   1	09.01.2024	          1	PC	Blow-out pump	4535985994	GR stock in transit	            0	      1		X	B		WE
		5211	8790	60579		101	5066922139	   1	16.07.2024	          1	PC	Blow-out pump	4537049680	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5211	8790	60579		101	5066808765	   1	03.07.2024	          1	PC	Blow-out pump	4536988055	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5211	8790	60579		101	5066547552	   1	08.06.2024	          1	PC	Blow-out pump	4536678854	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5211	8790	60579		101	5065430865	   1	19.02.2024	          1	PC	Blow-out pump	4536212077	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5211	8790	60579	8733	101	5065306590	   1	06.02.2024	          2	PC	Blow-out pump	4536147921	GR stock in transit	         0,00	      2		X	B		WE
		5251	3090	61470		101	5065793685	   1	22.03.2024	          1	PC	Masonry drill bit TM 1/4"-6"	4536430134	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5241	8690	84291		101	5066422889	   1	27.05.2024	      1.000	PC	Drywall screw 6x1-1/4" PBH S	4536778167	GR st.in tr:ac.assg.	            0	  1.000		X	B		WE
		5241	8690	84291		101	5065552858	   1	29.02.2024	      1.000	PC	Drywall screw 6x1-1/4" PBH S	4536290306	GR st.in tr:ac.assg.	            0	  1.000		X	B		WE
		5241	8690	84291		101	5065455902	   1	21.02.2024	      1.000	PC	Drywall screw 6x1-1/4" PBH S	4536229205	GR st.in tr:ac.assg.	            0	  1.000		X	B		WE
		5241	8690	84291		101	5065180725	   1	24.01.2024	      1.000	PC	Drywall screw 6x1-1/4" PBH S	4536077870	GR st.in tr:ac.assg.	            0	  1.000		X	B		WE
		5241	8690	84307		101	5067391833	   1	06.09.2024	      1.000	PC	Drywall screw 6x1-5/8" PBH S CRS	4537324525	GR st.in tr:ac.assg.	            0	  1.000		X	B		WE
		5241	8690	84307		101	5066089028	   1	22.04.2024	      1.000	PC	Drywall screw 6x1-5/8" PBH S CRS	4536593364	GR st.in tr:ac.assg.	            0	  1.000		X	B		WE
		5241	8690	84317		101	5067391834	   1	06.09.2024	      1.000	PC	Drywall screw 8x3 PBH S CRS	4537324525	GR st.in tr:ac.assg.	            0	  1.000		X	B		WE
		5241	8690	84317		101	5067208163	   1	19.08.2024	      1.000	PC	Drywall screw 8x3 PBH S CRS	4537221036	GR st.in tr:ac.assg.	            0	  1.000		X	B		WE
		5241	8690	84317		101	5066576745	   1	11.06.2024	      1.000	PC	Drywall screw 8x3 PBH S CRS	4536862976	GR st.in tr:ac.assg.	            0	  1.000		X	B		WE
		5241	8690	84317		101	5065552859	   1	29.02.2024	      1.000	PC	Drywall screw 8x3 PBH S CRS	4536290306	GR st.in tr:ac.assg.	            0	  1.000		X	B		WE
		5241	8690	84322		101	5067208164	   1	19.08.2024	      2.500	PC	Drywall screw 7x2-1/2" PBH S CRS	4537221036	GR st.in tr:ac.assg.	            0	  2.500		X	B		WE
		5241	8690	84322		101	5066002327	   1	12.04.2024	      2.500	PC	Drywall screw 7x2-1/2" PBH S CRS	4536542629	GR st.in tr:ac.assg.	            0	  2.500		X	B		WE
		5241	8690	84323		101	5067391832	   1	06.09.2024	      1.000	PC	Drywall screw 6x1-5/8" PBH S	4537324525	GR st.in tr:ac.assg.	            0	  1.000		X	B		WE
		5241	8690	84323		101	5066422890	   1	27.05.2024	      1.000	PC	Drywall screw 6x1-5/8" PBH S	4536778167	GR st.in tr:ac.assg.	            0	  1.000		X	B		WE
		5241	8690	86206		101	5066859115	   1	09.07.2024	     10.000	PC	Drywall screw 7x7/16" PPH S FRMR	4537010304	GR st.in tr:ac.assg.	            0	 10.000		X	B		WE
		5241	8690	86215		101	5067194427	   1	16.08.2024	      1.000	PC	Drywall screw 6x1 1/4" PBH SD ZN	4537213441	GR st.in tr:ac.assg.	            0	  1.000		X	B		WE
		5241	8690	86215		101	5066422892	   1	27.05.2024	      1.000	PC	Drywall screw 6x1 1/4" PBH SD ZN	4536778167	GR st.in tr:ac.assg.	            0	  1.000		X	B		WE
		5241	8690	86217		101	5066422891	   1	27.05.2024	      1.000	PC	Drywall screw 6x1 5/8" PBH SD ZN	4536778167	GR st.in tr:ac.assg.	            0	  1.000		X	B		WE
		5241	8690	86219		101	5065704930	   1	14.03.2024	      4.000	PC	Drywall screw 6x1 7/8" PBH SD ZN	4536377509	GR st.in tr:ac.assg.	            0	  4.000		X	B		WE
		5211	8790	88594		101	5067231639	   1	21.08.2024	          1	PC	Bushing head TE-Y/S BH 6x6	4537234493	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5241	8690	202900		101	5065507422	   1	26.02.2024	          1	PC	Core bit extension DD-BS-ET 300 A	4536263765	GR st.in tr:ac.assg.	            0	      1		X	B		WE
		5241	8690	203867		101	5065337415	   1	08.02.2024	          1	PC	Suction hose 36mmx4.65m anti-static	4536164560	GR st.in tr:ac.assg.	            0	      1		X	B		WE
		5211	8790	206040	8723	101	5067069187	   1	01.08.2024	          5	PC	Pilot bit HSS-Co	4537138023	GR stock in transit	         0,00	      5		X	B		WE
		5241	8690	209632		101	5066588343	   1	12.06.2024	          1	PC	FS joint filler CP 606 580ml white	4536869085	GR st.in tr:ac.assg.	            0	      1		X	B		WE
		5241	8690	209632		101	5066584823	   1	12.06.2024	          1	PC	FS joint filler CP 606 580ml white	4536863043	GR st.in tr:ac.assg.	            0	      1		X	B		WE
		5251	3090	209634		101	5065718412	   1	15.03.2024	          1	PC	FS joint filler CP 606 580ml HNA red	4536379664	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5241	8690	211981		101	5066460965	   1	30.05.2024	          1	PC	Cutting oil (0,1L)	4536797895	GR st.in tr:ac.assg.	            0	      1		X	B		WE
		5241	8690	212300	0560	101	5065322485	   1	07.02.2024	          1	PC	Univ. vacuum cleaner VC 40-U 230V	4536157451	GR stock in transit	            0	      1		X	B		WE
		5241	8690	212300	0560	101	5065307960	   1	06.02.2024	          1	PC	Univ. vacuum cleaner VC 40-U 230V	4536149808	GR stock in transit	            0	      1		X	B		WE
		5241	8690	212300	0527	101	5065131241	   1	19.01.2024	          1	PC	Univ. vacuum cleaner VC 40-U 230V	4536052262	GR stock in transit	            0	      1		X	B		WE
		5251	3090	213950		101	5066353494	   1	20.05.2024	          1	PC	Twist drill bit HSS 2-8 (6) set	4536737609	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	213950		101	5066228577	   1	06.05.2024	          1	PC	Twist drill bit HSS 2-8 (6) set	4536662435	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5241	8690	213950		101	5065916373	   1	04.04.2024	          1	PC	Twist drill bit HSS 2-8 (6) set	4536494052	GR st.in tr:ac.assg.	            0	      1		X	B		WE
		5241	8690	213950		101	5065640717	   1	08.03.2024	          1	PC	Twist drill bit HSS 2-8 (6) set	4536344109	GR st.in tr:ac.assg.	            0	      1		X	B		WE
		5211	8790	213950		101	5067151873	   1	12.08.2024	          1	PC	Twist drill bit HSS 2-8 (6) set	4537184119	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5211	8790	213950		101	5067095003	   1	05.08.2024	          1	PC	Twist drill bit HSS 2-8 (6) set	4537151336	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5211	8790	213950	8723	101	5067068844	   1	01.08.2024	          1	PC	Twist drill bit HSS 2-8 (6) set	4537138023	GR stock in transit	         0,00	      1		X	B		WE
		5251	3090	220139		101	5065719600	   1	15.03.2024	         10	PC	Nozzle CS-280-D5 (10)	4536379664	GR st.in tr:ac.assg.	         0,00	     10		X	B		WE
		5251	3090	224117		101	5067049033	   1	30.07.2024	          1	PC	Quick-release chuck TE 2/2-S/2-E + SDS	4537123883	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	224117		101	5067024189	   1	26.07.2024	          1	PC	Quick-release chuck TE 2/2-S/2-E + SDS	4537102000	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	224117		101	5066606569	   1	13.06.2024	          1	PC	Quick-release chuck TE 2/2-S/2-E + SDS	4536877503	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	224117		101	5066032678	   1	16.04.2024	          1	PC	Quick-release chuck TE 2/2-S/2-E + SDS	4536561337	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5241	8690	224117		101	5065363222	   1	12.02.2024	          1	PC	Quick-release chuck TE 2/2-S/2-E + SDS	4536181481	GR st.in tr:ac.assg.	            0	      1		X	B		WE
		5251	3090	224119	0122	101	5065309278	   1	07.02.2024	          1	PC	Quick-release chuck TE 2M/7C/7A/6A Li	4536149794	GR stock in transit	         0,00	      1		X	B		WE
		5211	8790	224119	8710	101	5066182734	   1	30.04.2024	          1	PC	Quick-release chuck TE 2M/7C/7A/6A Li	4536646497	GR stock in transit	         0,00	      1		X	B		WE
		5241	8690	226976		101	5065050847	   4	11.01.2024	          1	PC	Target plate PRA 54 (CM/IN)	4535993786	GR st.in tr:ac.assg.	            0	      1		X	B		WE
		5251	3090	228335		101	5066547371	   1	07.06.2024	        200	PC	Conduit clip X-EMTC 1/2" MX	4536838186	GR st.in tr:ac.assg.	         0,00	    200		X	B		WE
		5251	3090	228335	0167	101	5065538056	   1	28.02.2024	        200	PC	Conduit clip X-EMTC 1/2" MX	4536281433	GR stock in transit	         0,00	    200		X	B		WE
		5251	3090	228335	0211	101	5065339272	   1	08.02.2024	        200	PC	Conduit clip X-EMTC 1/2" MX	4536164637	GR stock in transit	         0,00	    200		X	B		WE
		5251	3090	228336		101	5067408800	   1	09.09.2024	        200	PC	Conduit clip X-EMTC 3/4" MX	4537301860	GR st.in tr:ac.assg.	         0,00	    200		X	B		WE
		5251	3090	228338	0167	101	5065538057	   1	28.02.2024	        100	PC	Stand-off clamp X-EMTSC 1/2" MX	4536281433	GR stock in transit	         0,00	    100		X	B		WE
		5251	3090	228339		101	5067408802	   1	09.09.2024	        100	PC	Stand-off clamp X-EMTSC 3/4" MX	4537301860	GR st.in tr:ac.assg.	         0,00	    100		X	B		WE
		5241	8690	228339		101	5066389406	   1	23.05.2024	        100	PC	Stand-off clamp X-EMTSC 3/4" MX	4536737396	GR st.in tr:ac.assg.	            0	    100		X	B		WE
		5251	3090	228341		101	5067282516	   1	27.08.2024	        100	PC	Ceiling hanger X-EHS W6 MX	4537264097	GR st.in tr:ac.assg.	         0,00	    100		X	B		WE
		5251	3090	228341		101	5066489779	   1	03.06.2024	        100	PC	Ceiling hanger X-EHS W6 MX	4536798319	GR st.in tr:ac.assg.	         0,00	    100		X	B		WE
		5251	3090	228341		101	5066214170	   1	03.05.2024	        100	PC	Ceiling hanger X-EHS W6 MX	4536655036	GR st.in tr:ac.assg.	         0,00	    100		X	B		WE
		5251	3090	228341	0190	101	5066042795	   1	17.04.2024	        100	PC	Ceiling hanger X-EHS W6 MX	4536561708	GR stock in transit	         0,00	    100		X	B		WE
		5251	3090	228341		101	5065659054	   1	11.03.2024	        100	PC	Ceiling hanger X-EHS W6 MX	4536310030	GR st.in tr:ac.assg.	         0,00	    100		X	B		WE
		5251	3090	228342		101	5066119443	   1	24.04.2024	        100	PC	Ceiling clip X-ECC MX	4536604164	GR st.in tr:ac.assg.	         0,00	    100		X	B		WE
		5251	3090	228342	0211	101	5065339268	   1	08.02.2024	        100	PC	Ceiling clip X-ECC MX	4536164637	GR stock in transit	         0,00	    100		X	B		WE
		5251	3090	228342		101	5065323646	   1	07.02.2024	        100	PC	Ceiling clip X-ECC MX	4536157507	GR st.in tr:ac.assg.	         0,00	    100		X	B		WE
		5251	3090	229138		101	5067155980	   1	12.08.2024	          1	PC	Handle HIT-RBH	4537191219	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	229138		101	5066986986	   1	23.07.2024	          1	PC	Handle HIT-RBH	4537080074	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	229138		101	5066490095	   1	03.06.2024	          1	PC	Handle HIT-RBH	4536813689	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	229138		101	5066489778	   1	03.06.2024	          1	PC	Handle HIT-RBH	4536798319	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	229138	0156	101	5066352776	   1	20.05.2024	          1	PC	Handle HIT-RBH	4536737348	GR stock in transit	         0,00	      1		X	B		WE
		5251	3090	229138		101	5066272681	   1	10.05.2024	          1	PC	Handle HIT-RBH	4536694503	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	229138		101	5066202913	   1	02.05.2024	          1	PC	Handle HIT-RBH	4536614761	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	229138		101	5065876424	   1	01.04.2024	          1	PC	Handle HIT-RBH	4536449921	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	229138		101	5065775703	   1	21.03.2024	          1	PC	Handle HIT-RBH	4536403729	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	229138		101	5065352386	   1	10.02.2024	          1	PC	Handle HIT-RBH	4536158113	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	229138		101	5065269346	   1	01.02.2024	          1	PC	Handle HIT-RBH	4536101652	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	229138	0160	101	5065254514	   1	31.01.2024	          1	PC	Handle HIT-RBH	4536110568	GR stock in transit	         0,00	      1		X	B		WE
		5251	3090	229138	0255	101	5065166327	   1	23.01.2024	          1	PC	Handle HIT-RBH	4536070986	GR stock in transit	         0,00	      1		X	B		WE
		5241	8690	229138		101	5067276499	   1	27.08.2024	          1	PC	Handle HIT-RBH	4537256091	GR st.in tr:ac.assg.	            0	      1		X	B		WE
		5241	8690	229138		101	5066748682	   1	27.06.2024	          1	PC	Handle HIT-RBH	4536956392	GR st.in tr:ac.assg.	            0	      1		X	B		WE
		5211	8790	229138		101	5066922140	   1	16.07.2024	          1	PC	Handle HIT-RBH	4537049680	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5211	8790	229138		101	5066736210	   1	26.06.2024	          1	PC	Handle HIT-RBH	4536949556	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	234460		101	5066679522	   1	20.06.2024	          1	PC	Insulating foam CF-I 50 ECO GV	4536909997	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	234460		101	5066437458	   1	28.05.2024	          1	PC	Insulating foam CF-I 50 ECO GV	4536788045	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	234460		101	5065960732	   1	09.04.2024	          1	PC	Insulating foam CF-I 50 ECO GV	4536518907	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	234460	0172	101	5065956836	   1	09.04.2024	          1	PC	Insulating foam CF-I 50 ECO GV	4536510729	GR stock in transit	         0,00	      1		X	B		WE
		5251	3090	234460	0172	101	5065433625	   1	19.02.2024	          1	PC	Insulating foam CF-I 50 ECO GV	4536165023	GR stock in transit	         0,00	      1		X	B		WE
		5251	3090	234460	0172	101	5065236439	   1	30.01.2024	          1	PC	Insulating foam CF-I 50 ECO GV	4536101202	GR stock in transit	         0,00	      1		X	B		WE
		5241	8690	234460		101	5066619637	   1	14.06.2024	          1	PC	Insulating foam CF-I 50 ECO GV	4536877138	GR st.in tr:ac.assg.	            0	      1		X	B		WE
		5241	8690	234460		101	5066089030	   1	22.04.2024	          1	PC	Insulating foam CF-I 50 ECO GV	4536593798	GR st.in tr:ac.assg.	            0	      1		X	B		WE
		5241	8690	234460		101	5065763040	   1	20.03.2024	          1	PC	Insulating foam CF-I 50 ECO GV	4536411112	GR st.in tr:ac.assg.	            0	      1		X	B		WE
		5241	8690	234460		101	5065508474	   1	26.02.2024	          1	PC	Insulating foam CF-I 50 ECO GV	4536264004	GR st.in tr:ac.assg.	            0	      1		X	B		WE
		5241	8690	234460		101	5065463143	   1	21.02.2024	          1	PC	Insulating foam CF-I 50 ECO GV	4536238700	GR st.in tr:ac.assg.	            0	      1		X	B		WE
		5241	8690	234460		101	5065259593	   1	01.02.2024	          1	PC	Insulating foam CF-I 50 ECO GV	4536118705	GR st.in tr:ac.assg.	            0	      1		X	B		WE
		5241	8690	234460		101	5065238029	   1	30.01.2024	          1	PC	Insulating foam CF-I 50 ECO GV	4536109987	GR st.in tr:ac.assg.	            0	      1		X	B		WE
		5241	8690	234460		101	5065237626	   1	30.01.2024	          1	PC	Insulating foam CF-I 50 ECO GV	4536110074	GR st.in tr:ac.assg.	            0	      1		X	B		WE
		5251	3090	236120		101	5067365432	   1	04.09.2024	          1	PC	Connection end BI (M41)	4537309477	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	236120		101	5067352194	   1	03.09.2024	          1	PC	Connection end BI (M41)	4537257346	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	236120		101	5067188123	   1	15.08.2024	          1	PC	Connection end BI (M41)	4537191919	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	236120		101	5067157307	   1	12.08.2024	          1	PC	Connection end BI (M41)	4537191690	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	236120		101	5067108313	   1	06.08.2024	          1	PC	Connection end BI (M41)	4537157554	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	236120		101	5067096658	   1	05.08.2024	          1	PC	Connection end BI (M41)	4537157339	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	236120		101	5067050018	   1	30.07.2024	          1	PC	Connection end BI (M41)	4537131185	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	236120		101	5066985210	   1	23.07.2024	          1	PC	Connection end BI (M41)	4537095080	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	236120		101	5066957904	   1	19.07.2024	          1	PC	Connection end BI (M41)	4537079343	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	236120		101	5066910637	   1	15.07.2024	          1	PC	Connection end BI (M41)	4537049376	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	236120		101	5066872647	   1	10.07.2024	          1	PC	Connection end BI (M41)	4537018422	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	236120		101	5066805980	   1	03.07.2024	          1	PC	Connection end BI (M41)	4536950358	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	236120		101	5066748983	   1	27.06.2024	          1	PC	Connection end BI (M41)	4536950451	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	236120		101	5066620636	   1	14.06.2024	          1	PC	Connection end BI (M41)	4536885790	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	236120	0160	101	5066589023	   1	12.06.2024	          2	PC	Connection end BI (M41)	4536869624	GR stock in transit	         0,00	      2		X	B		WE
		5251	3090	236120		101	5066265028	   1	09.05.2024	          1	PC	Connection end BI (M41)	4536687656	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	236120	0205	101	5066202820	   1	02.05.2024	          1	PC	Connection end BI (M41)	4536654663	GR stock in transit	         0,00	      1		X	B		WE
		5251	3090	236120		101	5065985126	   1	11.04.2024	          1	PC	Connection end BI (M41)	4536526468	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
		5251	3090	236120		101	5065974306	   1	10.04.2024	          1	PC	Connection end BI (M41)	4536519502	GR st.in tr:ac.assg.	         0,00	      1		X	B		WE
