27.03.2025			                                                                                                                                  Inbound deliveries per HAG invoices (extended 2)																													  1


		Doc. No.		Shipment	Purch.Doc.	 Item	Material	Material Description	Plnt	SLoc	    PO Quantity	OUn	OUn	  Item	Delivery	Reference	Supplier	POrg	PGr	Vendor	ShPt	Deliv.Date	Doc. Date	Ext. Order Pos	Ext. Order Number	Suppl.Vndr	TrackingNo	Reservation	Reservation item	Reservation order date	Diff.days
		4051571313		10935230	4538359338	00001	2105698	Gas can GC 42	8650	0001	            18	PC	PC	000010	681963944	58328532	HLI0550	8650	CL1	9999	8650	28.04.2025	18.03.2025	0010	56554845	HLI0550	D911607005	0013911607	            0005	11.03.2025	       7
		4051571313		10935230	4538359339	00001	2105698	Gas can GC 42	8650	0001	            18	PC	PC	000010	681963945	58328533	HLI0550	8650	CL1	9999	8650	28.04.2025	18.03.2025	0010	56554845	HLI0550	D911607005	0013911607	            0005	11.03.2025	       7
		4051571313		10935230	4538359341	00001	2105698	Gas can GC 42	8650	0001	            18	PC	PC	000010	681963946	58328534	HLI0550	8650	CL1	9999	8650	28.04.2025	18.03.2025	0010	56554845	HLI0550	D911607005	0013911607	            0005	11.03.2025	       7
		4051571313		10935230	4538359342	00001	2105698	Gas can GC 42	8650	0001	            18	PC	PC	000010	681963947	58328535	HLI0550	8650	CL1	9999	8650	28.04.2025	18.03.2025	0010	56554845	HLI0550	D911607005	0013911607	            0005	11.03.2025	       7
		4051571313		10935230	4538359343	00001	2105698	Gas can GC 42	8650	0001	            18	PC	PC	000010	681963948	58327200	HLI0550	8650	CL1	9999	8650	28.04.2025	18.03.2025	0010	56554845	HLI0550	D911607005	0013911607	            0005	11.03.2025	       7
		4051571313		10935230	4538359344	00001	2105698	Gas can GC 42	8650	0001	            18	PC	PC	000010	681963949	58328507	HLI0550	8650	CL1	9999	8650	28.04.2025	18.03.2025	0020	56554845	HLI0550	D911607009	0013911607	            0009	11.03.2025	       0
		4051571313		10935230	4538359346	00001	2105698	Gas can GC 42	8650	0001	            18	PC	PC	000010	681963950	58328508	HLI0550	8650	CL1	9999	8650	28.04.2025	18.03.2025	0020	56554845	HLI0550	D911607009	0013911607	            0009	11.03.2025	       0
		4051571313		10935230	4538359347	00001	2105698	Gas can GC 42	8650	0001	            18	PC	PC	000010	681963951	58328509	HLI0550	8650	CL1	9999	8650	28.04.2025	18.03.2025	0020	56554845	HLI0550	D911607009	0013911607	            0009	11.03.2025	       0
		4051571313		10935230	4538359348	00001	2105698	Gas can GC 42	8650	0001	            18	PC	PC	000010	681963952	58328510	HLI0550	8650	CL1	9999	8650	28.04.2025	18.03.2025	0020	56554845	HLI0550	D911607009	0013911607	            0009	11.03.2025	       0
		4051571313		10935230	4538359349	00001	2105698	Gas can GC 42	8650	0001	            18	PC	PC	000010	681963953	58328511	HLI0550	8650	CL1	9999	8650	28.04.2025	18.03.2025	0020	56554845	HLI0550	D911607009	0013911607	            0009	11.03.2025	       0
		4051571313		10935230	4538359350	00001	2105698	Gas can GC 42	8650	0001	            18	PC	PC	000010	681963954	58328512	HLI0550	8650	CL1	9999	8650	28.04.2025	18.03.2025	0020	56554845	HLI0550	D911607009	0013911607	            0009	11.03.2025	       0
		4051571313		10935230	4538359352	00001	2105698	Gas can GC 42	8650	0001	            18	PC	PC	000010	681963955	58328513	HLI0550	8650	CL1	9999	8650	28.04.2025	18.03.2025	0020	56554845	HLI0550	D911607009	0013911607	            0009	11.03.2025	       0
		4051571313		10935230	4538359353	00001	2105698	Gas can GC 42	8650	0001	            18	PC	PC	000010	681963956	58328514	HLI0550	8650	CL1	9999	8650	28.04.2025	18.03.2025	0020	56554845	HLI0550	D911607009	0013911607	            0009	11.03.2025	       0
		4051571313		10935230	4538359354	00001	2105698	Gas can GC 42	8650	0001	            18	PC	PC	000010	681963957	58328515	HLI0550	8650	CL1	9999	8650	28.04.2025	18.03.2025	0020	56554845	HLI0550	D911607009	0013911607	            0009	11.03.2025	       0
		4051571313		10935230	4538359355	00001	2105698	Gas can GC 42	8650	0001	            18	PC	PC	000010	681963958	58328516	HLI0550	8650	CL1	9999	8650	28.04.2025	18.03.2025	0020	56554845	HLI0550	D911607009	0013911607	            0009	11.03.2025	       0
		4051571313		10935230	4538359357	00001	2105698	Gas can GC 42	8650	0001	            18	PC	PC	000010	681963959	58328517	HLI0550	8650	CL1	9999	8650	28.04.2025	18.03.2025	0020	56554845	HLI0550	D911607009	0013911607	            0009	11.03.2025	       0
		4051571313		10935230	4538359358	00001	2105698	Gas can GC 42	8650	0001	            18	PC	PC	000010	681963960	58327204	HLI0550	8650	CL1	9999	8650	28.04.2025	18.03.2025	0020	56554845	HLI0550	D911607009	0013911607	            0009	11.03.2025	       0
		4051572890		10943242	4538390735	00001	2399578	Rotating laser PR 40-22	8330	0001	            16	PC	PC	000010	681988396	58330162	HLI0550	8300	L07	9999	8330	20.05.2025	24.03.2025	0010	56540150	HLI0550	D845741001	0013845741	            0001	10.02.2025	      42
		4051572890		10943242	4538390736	00001	2399578	Rotating laser PR 40-22	8330	0001	            16	PC	PC	000010	681988397	58330164	HLI0550	8300	L07	9999	8330	20.05.2025	24.03.2025	0010	56540150	HLI0550	D845741001	0013845741	            0001	10.02.2025	      42
		4051572890		10943242	4538390737	00001	2399578	Rotating laser PR 40-22	8330	0001	            16	PC	PC	000010	681988398	58330163	HLI0550	8300	L07	9999	8330	20.05.2025	24.03.2025	0010	56540150	HLI0550	D845741001	0013845741	            0001	10.02.2025	      42
		4051573767		10950857	4538401750	00001	2153650	ON!Track tag AI L2	8650	0001	         1.800	PC	PC	000010	681997066	58333188	HLI0550	8650	CL1	9999	8650	04.04.2025	25.03.2025	0010	56565320	HLI0550	D932144001	0013932144	            0001	20.03.2025	       0
		4051546159		10740680	4537962169	00001	2142303	Injectable mortar HIT-RE 10 580/1-WH	3000	0001	           288	PC	PC	000010	681647957	58234884	HLI0550	3000	MX1	9999	3000	04.04.2025	08.01.2025	0010	56429603	HLI0550	D632529001	0013632529	            0001	30.10.2024	      49
		4051546160		10740680	4537962171	00001	2142303	Injectable mortar HIT-RE 10 580/1-WH	3000	0001	           288	PC	PC	000010	681647962	58234890	HLI0550	3000	MX1	9999	3000	04.04.2025	08.01.2025	0010	56443546	HLI0550	D667440001	0013667440	            0001	13.11.2024	      49
		4051546163		10740681	4537962174	00001	2234721	Adhesive capsule HVU2 1/2" x 4 1/4"	3000	0001	           360	PC	PC	000010	681647968	58235143	HLI0550	3000	MX1	9999	3000	04.04.2025	08.01.2025	0010	56429722	HLI0550	D634182001	0013634182	            0001	31.10.2024	      49
		4051546164		10740681	4537962175	00001	2234722	Adhesive capsule HVU2 5/8" x 5"	3000	0001	           360	PC	PC	000010	681647970	58235907	HLI0550	3000	MX1	9999	3000	04.04.2025	08.01.2025	0010	56431085	HLI0550	D640434001	0013640434	            0001	01.11.2024	      49
		4051546168		10740682	4537962182	00001	2322754	Line laser PM 2-LG	3000	0001	             8	PC	PC	000010	681647977	58270217	HLI0550	3000	MX1	9999	3000	04.04.2025	08.01.2025	0020	56478973	HLI0550	D742277015	0013742277	            0015	17.12.2024	       0
		4051546169		10740682	4537962209	00001	2184686	Hammer drill bit TE-YX 5/8"-21"	3000	0001	            17	PC	PC	000010	681648004	58270975	HLI0550	3000	MX1	9999	3000	04.04.2025	08.01.2025	0180	56358356	HLI0550	D480131018	0013480131	            0018	22.08.2024	      91
		4051550437		10783030	4538020778	00001	2222545	Injectable mortar HIT-RE 100-HC 580/1	8330	0001	           288	PC	PC	000010	681694508	58279124	HLI0550	8300	L01	9999	8330	04.04.2025	20.01.2025	0020	56484199	HLI0550	D753008005	0013753008	            0005	00.00.0000	       0
		4051550438		10783031	4538020780	00001	2334277	Injectable mortar HY 200-R V3 500/1/WH	8330	0001	           160	PC	PC	000010	681694510	58278458	HLI0550	8300	L01	9999	8330	04.04.2025	20.01.2025	0070	56484199	HLI0550	D753008024	0013753008	            0024	00.00.0000	       0
		4051550441		10783032	4538020787	00001	2253099	Cordl. combihammer TE 60-22 case	8330	0001	             2	PC	PC	000010	681694517	58279125	HLI0550	8300	L15	9999	8330	04.04.2025	20.01.2025	0010	56480147	HLI0550	D743860001	0013743860	            0001	17.12.2024	       7
		4051551578		10788905	4538036538	00001	2199633	Core bit BI 25/320 SP-L abras	3000	0001	            24	PC	PC	000010	681706852	58281844	HLI0550	3000	MX1	9999	3000	05.04.2025	22.01.2025	0290	56473292	HLI0550	D732901013	0013732901	            0013	00.00.0000	       0
		4051551579		10788905	4538036566	00001	2305535	Core bit BT-F 7/8"/12" SPX-L	3000	0001	            24	PC	PC	000010	681706879	58281852	HLI0550	3000	MX1	9999	3000	05.04.2025	22.01.2025	0200	56426518	HLI0550	D627665022	0013627665	            0022	29.10.2024	      77
		4051555917		10821361	4538114684	00001	2156391	High performance nail X-P 24 B3 MX BULK	3000	0001	        36.000	PC	PC	000010	681769888	58292934	HLI0550	3000	MX1	9999	3000	09.05.2025	05.02.2025	0010	56489902	HLI0550	D753007031	0013753007	            0031	23.12.2024	      14
		4051555959		10822443	4538114688	00001	2261779	Core bit BI 14/320 SP-L abras	3000	0001	             1	PC	PC	000010	681769891	58293990	HLI0550	3000	MX1	9999	3000	09.05.2025	05.02.2025	0200	56501202	HLI0550	D793485008	0013793485	            0008	00.00.0000	       0
		4051555960		10822443	4538114749	00001	2346077	Elec. connector S-BT-EF M10 HC 120 HL	3000	0001	           200	PC	PC	000010	681769931	58293991	HLI0550	3000	MX1	9999	3000	09.05.2025	05.02.2025	0010	56392723	HLI0550	D548762001	0013548762	            0001	23.09.2024	     192
		4051557544		10832397	4538137941	00001	2062050	Laser range meter PD-E	8650	0001	            18	PC	PC	000010	681788279	58296035	HLI0550	8650	CL1	9999	8650	31.03.2025	10.02.2025	0070	56507472	HLI0550	D806339004	0013806339	            0004	24.01.2025	       0
		4051557430		10832395	4538143094	00001	2123404	Injectable mortar HIT-RE 500 V3/500/1	8750	0001	           480	PC	PC	000010	681792733	58296472	HLI0550	8750	L01	9999	8750	10.04.2025	11.02.2025	0040	56505923	HLI0550	D803833010	0013803833	            0010	22.01.2025	       0
		4051557543		10832398	4538143096	00001	286955	Firestop coating CP 670 17,5kg	8750	0001	             6	PC	PC	000010	681792735	58296598	HLI0550	8750	L03	9999	8750	10.04.2025	11.02.2025	0010	56511597	HLI0550	D815094001	0013815094	            0001	28.01.2025	       0
		4051557474		10832275	4538143157	00001	2222545	Injectable mortar HIT-RE 100-HC 580/1	8330	0001	           288	PC	PC	000010	681792808	58296070	HLI0550	8300	L01	9999	8330	03.04.2025	10.02.2025	0010	56502930	HLI0550	D796970001	0013796970	            0001	20.01.2025	       0
		4051557476		10832276	4538143243	00001	338725	Firestop foam CP 620 US	8330	0001	            12	PC	PC	000010	681792893	58291186	HLI0550	8300	L03	9999	8330	03.04.2025	10.02.2025	0010	56485780	HLI0550	D755493001	0013755493	            0001	30.12.2024	       7
		4051560332		10849473	4538179525	00001	2396144	Core bit B 152/430+ P-U	8330	0001	             6	PC	PC	000010	681821059	58303408	HLI0550	8300	L05	9999	8330	08.04.2025	17.02.2025	0030	56524088	HLI0550	D832453008	0013832453	            0008	04.02.2025	       0
		4051560001		10847881	4538180852	00001	2142303	Injectable mortar HIT-RE 10 580/1-WH	8330	0001	           288	PC	PC	000010	681822022	58302849	HLI0550	8300	L01	9999	8330	08.04.2025	17.02.2025	0010	56520216	HLI0550	D816346001	0013816346	            0001	29.01.2025	       7
		4051560001		10847881	4538180854	00001	2142303	Injectable mortar HIT-RE 10 580/1-WH	8330	0001	           288	PC	PC	000010	681822023	58302839	HLI0550	8300	L01	9999	8330	08.04.2025	17.02.2025	0010	56520216	HLI0550	D816346001	0013816346	            0001	29.01.2025	       7
		4051560003		10847882	4538180860	00001	2281190	Firestop coating CP 670 17,5kg	8330	0001	            24	PC	PC	000010	681822028	58302573	HLI0550	8300	L03	9999	8330	08.04.2025	17.02.2025	0010	56514037	HLI0550	D818727001	0013818727	            0001	30.01.2025	       7
		4051560005		10848533	4538180867	00001	2116103	Insulating foam CF-I 65  ECO	8330	0001	           336	PC	PC	000010	681822031	58302843	HLI0550	8300	L03	9999	8330	08.04.2025	17.02.2025	0060	56515267	HLI0550	D820870006	0013820870	            0006	01.02.2025	       7
		4051560005		10848533	4538180868	00001	2116103	Insulating foam CF-I 65  ECO	8330	0001	           336	PC	PC	000010	681822032	58302842	HLI0550	8300	L03	9999	8330	08.04.2025	17.02.2025	0060	56515267	HLI0550	D820870006	0013820870	            0006	01.02.2025	       7
		4051560951		10854768	4538190023	00001	24631	Cleaner CFR1 500ML	8650	0001	            12	PC	PC	000010	681829299	58304982	HLI0550	8650	CL1	9999	8650	28.04.2025	18.02.2025	0010	56525702	HLI0550	D847925001	0013847925	            0001	11.02.2025	       0
		4051560951		10854768	4538190024	00001	24631	Cleaner CFR1 500ML	8650	0001	            12	PC	PC	000010	681829300	58304649	HLI0550	8650	CL1	9999	8650	28.04.2025	18.02.2025	0010	56525702	HLI0550	D847925001	0013847925	            0001	11.02.2025	       0
		4051561173		10855148	4538195904	00001	2253769	Batt.-actuated tool BX 3-L-22 case	3000	0001	             1	PC	PC	000010	681834100	58303931	HLI0550	3000	MX1	9999	3000	12.05.2025	19.02.2025	0040	56526019	HLI0550	D848140004	0013848140	            0004	12.02.2025	       0
		4051562622		10867118	4538222454	00001	2281190	Firestop coating CP 670 17,5kg	8330	0001	            24	PC	PC	000010	681855471	58308133	HLI0550	8300	L03	9999	8330	15.04.2025	24.02.2025	0030	56514037	HLI0550	D818727003	0013818727	            0003	30.01.2025	      14
		4051562623		10867119	4538222457	00001	2116103	Insulating foam CF-I 65  ECO	8330	0001	           336	PC	PC	000010	681855474	58308182	HLI0550	8300	L03	9999	8330	15.04.2025	24.02.2025	0010	56527184	HLI0550	D850384001	0013850384	            0001	12.02.2025	       0
		4051562623		10867119	4538222458	00001	2116103	Insulating foam CF-I 65  ECO	8330	0001	           336	PC	PC	000010	681855475	58308201	HLI0550	8300	L03	9999	8330	15.04.2025	24.02.2025	0010	56527184	HLI0550	D850384001	0013850384	            0001	12.02.2025	       0
		4051562697		10867120	4538222465	00001	2333179	Cordl. mixer NMX 6-22 box	8330	0001	             6	PC	PC	000010	681855481	58308288	HLI0550	8300	L15	9999	8330	15.04.2025	24.02.2025	0010	56531753	HLI0550	D860561001	0013860561	            0001	17.02.2025	       0
		4051562697		10867120	4538222466	00001	2333179	Cordl. mixer NMX 6-22 box	8330	0001	             5	PC	PC	000010	681855482	58308289	HLI0550	8300	L15	9999	8330	15.04.2025	24.02.2025	0010	56531753	HLI0550	D860561001	0013860561	            0001	17.02.2025	       0
		4051562634		10867226	4538223323	00001	2260561	Dia blade 180/22 P univ	8650	0001	            60	PC	PC	000010	681856005	58308516	HLI0550	8650	CL1	9999	8650	14.04.2025	24.02.2025	0010	56532360	HLI0550	D861654001	0013861654	            0001	18.02.2025	       0
		4051565731		10888255	4538266997	00001	2151629	Hammer drill bit TE-CX 12/37	3000	0001	            30	PC	PC	000010	681890275	58316223	HLI0550	3000	MX1	9999	3000	07.04.2025	03.03.2025	0010	56512686	HLI0550	D816557001	0013816557	            0001	29.01.2025	      29
		4051565266		10885284	4538277990	00001	234460	Insulating foam CF-I 50 ECO GV	8330	0001	           288	PC	PC	000010	681898715	58315171	HLI0550	8300	L03	9999	8330	29.04.2025	05.03.2025	0020	56533710	HLI0550	D864307003	0013864307	            0003	18.02.2025	       8
		4051565324		10885285	4538277993	00001	334897	Firestop mortar CP 636 20KG	8330	0001	            20	PC	PC	000010	681898718	58314265	HLI0550	8300	L03	9999	8330	29.04.2025	05.03.2025	0020	56539863	HLI0550	D876791002	0013876791	            0002	24.02.2025	       8
		4051565324		10885285	4538277994	00001	334897	Firestop mortar CP 636 20KG	8330	0001	            20	PC	PC	000010	681898719	58314798	HLI0550	8300	L03	9999	8330	29.04.2025	05.03.2025	0020	56539863	HLI0550	D876791002	0013876791	            0002	24.02.2025	       8
		4051565878		10888553	4538278313	00001	2199326	Hammer drill bit TE-Y 7/8" x 21"	3000	0001	             4	PC	PC	000010	681899053	58316604	HLI0550	3000	MX1	9999	3000	12.05.2025	05.03.2025	0010	56541450	HLI0550	D879365001	0013879365	            0001	25.02.2025	       0
		4051566525		10894688	4538281100	00001	2294760	Capsule HUS4-MAX 12	8750	0001	            50	PC	PC	000010	681901318	58317558	HLI0550	8750	L02	9999	8750	01.04.2025	05.03.2025	0010	56525695	HLI0550	D847924003	0013847924	            0003	11.02.2025	-36
		4051566529		10894689	4538281102	00001	338725	Firestop foam CP 620 US	8750	0001	           180	PC	PC	000010	681901320	58317633	HLI0550	8750	L03	9999	8750	01.04.2025	05.03.2025	0010	56466819	HLI0550	D720308001	0013720308	            0001	04.12.2024	      20
		4051567781		10911436	4538307084	00001	2322754	Line laser PM 2-LG	8750	0001	             4	PC	PC	000010	681922722	58318787	HLI0550	8750	L07	9999	8750	07.05.2025	10.03.2025	0020	56521549	HLI0550	D837678009	0013837678	            0009	07.02.2025	       0
		4051566973		10874591	4538307947	00001	2229021	Powder-actuated tool DX 6 GR	8330	0001	             1	PC	PC	000010	681923612	58314397	HLI0550	8300	L04	9999	8330	04.04.2025	10.03.2025	0010	56514226	HLI0550	D818868001	0013818868	            0001	31.01.2025	-22
		4051568125		10914402	4538308519	00001	2349152	Grating disc X-FCM-F 23/28	3000	0001	           200	PC	PC	000010	681924195	58320902	HLI0550	3000	MX1	9999	3000	09.04.2025	10.03.2025	0010	56515554	HLI0550	D825722001	0013825722	            0001	02.02.2025	      28
		4051568125		10914402	4538308521	00001	2349152	Grating disc X-FCM-F 23/28	3000	0001	         4.800	PC	PC	000010	681924196	58320904	HLI0550	3000	MX1	9999	3000	09.04.2025	10.03.2025	0010	56515554	HLI0550	D825722001	0013825722	            0001	02.02.2025	      28
		4051568130		10914403	4538308522	00001	338725	Firestop foam CP 620 US	3000	0001	           360	PC	PC	000010	681924197	58292950	HLI0550	3000	MX1	9999	3000	09.04.2025	10.03.2025	0010	56485673	HLI0550	D755697001	0013755697	            0001	30.12.2024	-11
		4051568131		10914403	4538308524	00001	2261210	Hole saw 102mm-4" carbide tipp.	3000	0001	             2	PC	PC	000010	681924198	58320899	HLI0550	3000	MX1	9999	3000	09.04.2025	10.03.2025	0010	56549796	HLI0550	D901426001	0013901426	            0001	05.03.2025	       0
		4051568131		10914403	4538308526	00001	2261210	Hole saw 102mm-4" carbide tipp.	3000	0001	             6	PC	PC	000010	681924199	58320898	HLI0550	3000	MX1	9999	3000	09.04.2025	10.03.2025	0010	56549796	HLI0550	D901426001	0013901426	            0001	05.03.2025	       0
		4051568309		10916056	4538310126	00001	371722	Brush extension HIT-RBS-10/0,35 mechanic	3000	0001	             5	PC	PC	000010	681925649	58321264	HLI0550	3000	MX1	9999	3000	28.03.2025	10.03.2025	0010	56552695	HLI0550	D905351001	0013905351	            0001	07.03.2025	       0
		4051569441		10923762	4538327480	00001	2346080	Elec. connector S-BT-ER W10 HC 4/0 HL	3000	0001	           400	PC	PC	000010	681939021	58323531	HLI0550	3000	MX1	9999	3000	27.03.2025	12.03.2025	0010	56553531	HLI0550	D905353001	0013905353	            0001	07.03.2025	       2
		4051570431		10928731	4538346933	00001	2334277	Injectable mortar HY 200-R V3 500/1/WH	8330	0001	           160	PC	PC	000010	681954042	58313579	HLI0550	8300	L01	9999	8330	13.05.2025	17.03.2025	0010	56533707	HLI0550	D863437001	0013863437	            0001	18.02.2025	      21
		4051570765		10932066	4538350159	00001	2037689	Demonstration case CFS-T	3000	0001	             1	PC	PC	000010	681956815	58325957	HLI0550	3000	MX1	9999	3000	10.04.2025	17.03.2025	0030	56404988	HLI0550	D582621002	0013582621	            0002	08.10.2024	     154
		4051571036		10932443	4538354240	00001	2156392	Steel nail X-S 14 B3 MX	3000	0001	        57.600	PC	PC	000010	681959712	58326084	HLI0550	3000	MX1	9999	3000	13.05.2025	18.03.2025	0010	56544410	HLI0550	D883616005	0013883616	            0005	27.02.2025	       0
		4051571037		10932445	4538354243	00001	2341088	Hammer drill bit TE-C 3/8"-6" MP32	3000	0001	            32	PC	PC	000010	681959715	58326824	HLI0550	3000	MX1	9999	3000	13.05.2025	18.03.2025	0230	56554479	HLI0550	D911351003	0013911351	            0003	10.03.2025	       0
		4051571312		10930266	4538359314	00001	2101534	Firestop sealant FS-ONE MAX 10.1OZ CART	8650	0001	           312	PC	PC	000010	681963926	58328329	HLI0550	8650	CL1	9999	8650	28.03.2025	18.03.2025	0010	56557438	HLI0550	D915539001	0013915539	            0001	12.03.2025	-49
		4051571312		10930266	4538359315	00001	2101534	Firestop sealant FS-ONE MAX 10.1OZ CART	8650	0001	           144	PC	PC	000010	681963927	58328330	HLI0550	8650	CL1	9999	8650	28.03.2025	18.03.2025	0010	56557438	HLI0550	D915539001	0013915539	            0001	12.03.2025	-49
		4051571314		10935231	4538359359	00001	2094453	Impact socket SI-SA 3/4" - 30 Degree	8650	0001	             1	PC	PC	000010	681963961	58328294	HLI0550	8650	CL1	9999	8650	28.03.2025	18.03.2025	0010	56560502	HLI0550	D920671001	0013920671	            0001	14.03.2025	       0
		4051572308		10942254	4538375922	00001	2139006	Core bit C+ 12/150 SPX-T abras	8750	0001	             8	PC	PC	000010	681976181	58330413	HLI0550	8750	L05	9999	8750	28.03.2025	21.03.2025	0010	56565471	HLI0550	D929908001	0013929908	            0001	18.03.2025	       0
		4051572308		10942254	4538375924	00001	2139006	Core bit C+ 12/150 SPX-T abras	8750	0001	             2	PC	PC	000010	681976182	58330422	HLI0550	8750	L05	9999	8750	28.03.2025	21.03.2025	0010	56565471	HLI0550	D929908001	0013929908	            0001	18.03.2025	       0
		4051572845		10944258	4538390646	00001	2334277	Injectable mortar HY 200-R V3 500/1/WH	8650	0001	           480	PC	PC	000010	681988265	58329982	HLI0550	8650	CL1	9999	8650	12.05.2025	24.03.2025	0010	56556737	HLI0550	D903885001	0013903885	            0001	06.03.2025	      11
