13.09.2024                          Dynamic List Display                                                                                   1


	ShPt	Plnt	SLoc	Delivery	Material	Item Description	 Dlv.Qty	BUn	Supplier Name	OPS	WM	GM	Deliv.date
	8330	8330	0001	681106455	203517	Espuma anti-fogo CP 660 INT	     96	PC	HILTI			A	22.10.2024
	8330	8330	0001	681106456	203517	Espuma anti-fogo CP 660 INT	     96	PC	HILTI			A	22.10.2024
	8330	8330	0001	681139675	203517	Espuma anti-fogo CP 660 INT	    144	PC	HILTI			A	20.09.2024
	8330	8330	0001	680907492	203852	Saco de pó VC 40/150-10 (10) plástico	     20	PC	HILTI			A	11.09.2024
	3000	3000	0001	680979493	203867	Manguera de aspiración 36mmx4.65m anties	      1	PC	HILTI			A	02.10.2024
	8650	8650	0001	680996035	203867	Manguera de aspiración 36mmx4.65m anties	     16	PC	HILTI			A	23.09.2024
	8650	8650	0001	681106418	203867	Manguera de aspiración 36mmx4.65m anties	     16	PC	HILTI			A	14.10.2024
	3000	3000	0001	680792672	207313	Arandela de junta DD-SW-77/87-S	      1	PC	HILTI			A	13.09.2024
	3000	3000	0001	680792672	207322	Arandela de junta DD-SW-107/117-M	      1	PC	HILTI			A	13.09.2024
	8750	8750	0001	681048772	207323	Arandela de junta DD-SW-122/132-M	      2	PC	HILTI			A	16.10.2024
	8330	8330	0001	680907489	207325	Anilha de vedação DD-SW-158/162-M	      1	PC	HILTI			A	11.09.2024
	3000	3000	0001	680859329	207340	Arandela de junta DD-SW-202-L	      1	PC	HILTI			A	17.09.2024
	8330	8330	0001	680967128	209625	Ved anti-fogo juntas CP 606 310ml branco	    120	PC	HILTI			A	17.09.2024
	8330	8330	0001	680967129	209625	Ved anti-fogo juntas CP 606 310ml branco	    100	PC	HILTI			A	17.09.2024
	8330	8330	0001	680996016	209625	Ved anti-fogo juntas CP 606 310ml branco	     40	PC	HILTI			A	23.10.2024
	8330	8330	0001	680996019	209625	Ved anti-fogo juntas CP 606 310ml branco	     40	PC	HILTI			A	23.10.2024
	8750	8750	0001	681047764	209625	Relleno cortafuego juntas CP 606 310ml b	    100	PC	HILTI			A	16.10.2024
	8750	8750	0001	681047764	209625	Relleno cortafuego juntas CP 606 310ml b	     80	PC	HILTI			A	16.10.2024
	8750	8750	0001	681047775	209625	Relleno cortafuego juntas CP 606 310ml b	    140	PC	HILTI			A	16.10.2024
	8330	8330	0001	681106443	209625	Ved anti-fogo juntas CP 606 310ml branco	     40	PC	HILTI			A	22.10.2024
	8330	8330	0001	681106447	209625	Ved anti-fogo juntas CP 606 310ml branco	     40	PC	HILTI			A	22.10.2024
	8330	8330	0001	681106449	209625	Ved anti-fogo juntas CP 606 310ml branco	     40	PC	HILTI			A	22.10.2024
	8330	8330	0001	681106450	209625	Ved anti-fogo juntas CP 606 310ml branco	     40	PC	HILTI			A	22.10.2024
	3000	3000	0001	680792657	209636	Relleno cortafuego juntas CP 606 5GAL ro	     16	PC	HILTI			A	13.09.2024
	3000	3000	0001	681150389	212131	Tope de profundidad DCH 300-X/ DCH 300	      1	PC	HILTI			A	06.11.2024
	3000	3000	0001	681088062	212190	Codo cpl	      1	PC	HILTI			A	23.10.2024
	8750	8750	0001	681048739	213950	Broca helicoidal HSS 2-8 (6) juego	      1	PC	HILTI			A	16.10.2024
	3000	3000	0001	681069064	213950	Broca helicoidal HSS 2-8 (6) juego	      1	PC				A	21.10.2024
	8330	8330	0001	681076190	213950	Broca helicoidal HSS 2-8 (6) pack	      1	PC	HILTI			A	15.10.2024
	8330	8330	0001	681026113	215196	Ponta de centragem DD 110-D DD-SA-RK M27	     14	PC	HILTI			A	11.10.2024
	8330	8330	0001	681106486	215196	Ponta de centragem DD 110-D DD-SA-RK M27	     10	PC	HILTI			A	22.10.2024
	8330	8330	0001	680967209	215197	Ponta de centragem DD 110-D DD-SA-RK BI+	     22	PC	HILTI			A	17.09.2024
	8330	8330	0001	681026147	215197	Ponta de centragem DD 110-D DD-SA-RK BI+	     15	PC	HILTI			A	11.10.2024
	8330	8330	0001	681137100	215197	Ponta de centragem DD 110-D DD-SA-RK BI+	     15	PC	HILTI			A	29.10.2024
	3000	3000	0001	680792690	220139	Tobera CS-280-D5 (10)	     10	PC	HILTI			A	13.09.2024
	3000	3000	0001	680859356	220139	Tobera CS-280-D5 (10)	     10	PC	HILTI			A	17.09.2024
	3000	3000	0001	681036396	220139	Tobera CS-280-D5 (10)	     10	PC	HILTI			A	09.10.2024
	3000	3000	0001	681150420	220139	Tobera CS-280-D5 (10)	     10	PC	HILTI			A	06.11.2024
	3000	3000	0001	680792673	220929	Prolongación broca corona DD-BI-ET300	      2	PC	HILTI			A	13.09.2024
	3000	3000	0001	680859343	220929	Prolongación broca corona DD-BI-ET300	      1	PC	HILTI			A	17.09.2024
	3000	3000	0001	680859343	220929	Prolongación broca corona DD-BI-ET300	      1	PC	HILTI			A	17.09.2024
	8330	8330	0001	680937954	220929	Prolong. broca coroa DD-BI-ET300	      3	PC	HILTI			A	25.09.2024
	3000	3000	0001	681036376	220929	Prolongación broca corona DD-BI-ET300	      1	PC	HILTI			A	09.10.2024
	8330	8330	0001	681076173	220929	Prolong. broca coroa DD-BI-ET300	      3	PC	HILTI			A	15.10.2024
	3000	3000	0001	681150413	220929	Prolongación broca corona DD-BI-ET300	      3	PC	HILTI			A	06.11.2024
	8750	8750	0001	681168356	220929	Prolongación broca corona DD-BI-ET300	      1	PC				A	16.09.2024
	3000	3000	0001	680920053	224117	Mandril de cierre rápido TE 2/2-S/2-E +	     18	PC	HILTI			A	24.09.2024
	3000	3000	0001	681025218	224117	Mandril de cierre rápido TE 2/2-S/2-E +	     18	PC	HILTI			A	18.09.2024
	3000	3000	0001	681036376	224117	Mandril de cierre rápido TE 2/2-S/2-E +	     18	PC	HILTI			A	09.10.2024
	3000	3000	0001	680792672	226976	Diana PRA 54 (CM/IN)	      1	PC	HILTI			A	13.09.2024
	8750	8750	0001	681048773	226976	Diana PRA 54 (CM/IN)	      5	PC	HILTI			A	16.10.2024
	3000	3000	0001	680860909	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	17.09.2024
	3000	3000	0001	680860910	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	17.09.2024
	3000	3000	0001	680860911	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	17.09.2024
	3000	3000	0001	680860918	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	17.09.2024
	3000	3000	0001	680860919	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	17.09.2024
	3000	3000	0001	680860920	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	17.09.2024
	3000	3000	0001	680860921	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	17.09.2024
	3000	3000	0001	680922134	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	24.09.2024
	3000	3000	0001	680922135	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	24.09.2024
	3000	3000	0001	680981529	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	07.10.2024
	3000	3000	0001	680981530	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	07.10.2024
	3000	3000	0001	681038174	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	09.10.2024
	3000	3000	0001	681038178	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	09.10.2024
	3000	3000	0001	681038179	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	09.10.2024
	3000	3000	0001	681038180	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	09.10.2024
	3000	3000	0001	681038181	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	09.10.2024
	3000	3000	0001	681038182	228085	Martillo perforador TE 2 120V maletín	     40	PC	HILTI			A	09.10.2024
	3000	3000	0001	681134300	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	27.11.2024
	3000	3000	0001	681134301	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	27.11.2024
	3000	3000	0001	681134302	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	27.11.2024
	3000	3000	0001	681134303	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	27.11.2024
	3000	3000	0001	681134304	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	27.11.2024
	3000	3000	0001	681134305	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	27.11.2024
	3000	3000	0001	681134306	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	27.11.2024
	3000	3000	0001	681134307	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	27.11.2024
	3000	3000	0001	681134308	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	27.11.2024
	3000	3000	0001	681134309	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	27.11.2024
	3000	3000	0001	681134310	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	27.11.2024
	3000	3000	0001	681134311	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	27.11.2024
	3000	3000	0001	681134312	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	27.11.2024
	3000	3000	0001	681134313	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	27.11.2024
	3000	3000	0001	681134314	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	27.11.2024
	3000	3000	0001	681134315	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	27.11.2024
	3000	3000	0001	681134316	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	27.11.2024
	3000	3000	0001	681134317	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	27.11.2024
	3000	3000	0001	681134318	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	27.11.2024
	3000	3000	0001	681134319	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	27.11.2024
	3000	3000	0001	681134320	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	27.11.2024
	3000	3000	0001	681134321	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	27.11.2024
	3000	3000	0001	681134322	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	27.11.2024
	3000	3000	0001	681134323	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	27.11.2024
	3000	3000	0001	681134324	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	27.11.2024
	3000	3000	0001	681134325	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	27.11.2024
	3000	3000	0001	681134326	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	27.11.2024
	3000	3000	0001	681134327	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	27.11.2024
	3000	3000	0001	681134328	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	27.11.2024
	3000	3000	0001	681134329	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	27.11.2024
	3000	3000	0001	681134330	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	27.11.2024
	3000	3000	0001	681134331	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	27.11.2024
	3000	3000	0001	681134332	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	27.11.2024
	3000	3000	0001	681134333	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	27.11.2024
	3000	3000	0001	681134334	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	27.11.2024
	3000	3000	0001	681134335	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	27.11.2024
	3000	3000	0001	681134336	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	27.11.2024
	3000	3000	0001	681134337	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	27.11.2024
	3000	3000	0001	681134338	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	27.11.2024
	3000	3000	0001	681134339	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	27.11.2024
	3000	3000	0001	681134340	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	27.11.2024
	3000	3000	0001	681134341	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	27.11.2024
	3000	3000	0001	681134342	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	27.11.2024
	3000	3000	0001	681134343	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	27.11.2024
	3000	3000	0001	681134344	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	27.11.2024
	3000	3000	0001	681134345	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	27.11.2024
	3000	3000	0001	681134346	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	27.11.2024
	3000	3000	0001	681134347	228085	Martillo perforador TE 2 120V maletín	     42	PC	HILTI			A	27.11.2024
	8650	8650	0001	680998182	228103	Martillo perforador TE 2-S 230V maletín	     18	PC	HILTI			A	23.09.2024
	3000	3000	0001	680980540	228334	Grapa metálica X-EMTC 3/8" MX	 12.800	PC	HILTI			A	07.10.2024
	3000	3000	0001	681035248	228334	Grapa metálica X-EMTC 3/8" MX	 21.000	PC	HILTI			A	09.10.2024
	3000	3000	0001	681149051	228335	Grapa metálica X-EMTC 1/2" MX	    200	PC	HILTI			A	24.09.2024
	3000	3000	0001	680953323	228337	Grapa metálica X-EMTC 1" MX	    200	PC				A	15.08.2024
	8330	8330	0001	681092195	228337	Grampo metálico p/ tubos X-EMTC 1" MX	    200	PC	HILTI			A	14.10.2024
	3000	3000	0001	681151158	228338	Abraz. distanciadora X-EMTSC 1/2" MX	    100	PC	HILTI			A	06.11.2024
	3000	3000	0001	681151165	228340	Abraz. distanciadora X-EMTSC 1" MX	    100	PC	HILTI			A	06.11.2024
	8330	8330	0001	680994086	228341	Suspensão de varão X-EHS W6 MX	 12.800	PC	HILTI			A	30.09.2024
	8330	8330	0001	681038418	228341	Suspensão de varão X-EHS W6 MX	  6.400	PC	HILTI			A	25.10.2024
	8330	8330	0001	680995961	228342	Suspensão de arame X-ECC MX	 28.800	PC	HILTI			A	23.10.2024
	8330	8330	0001	681076769	228342	Suspensão de arame X-ECC MX	 28.800	PC	HILTI			A	15.10.2024
	8330	8330	0001	681137143	228342	Suspensão de arame X-ECC MX	 28.800	PC	HILTI			A	29.10.2024
	3000	3000	0001	680859343	229138	Manillar HIT-RBH	     50	PC	HILTI			A	17.09.2024
	3000	3000	0001	680979478	230609	Taco balancín MF-SKD M10/200	    400	PC	HILTI			A	02.10.2024
	3000	3000	0001	680953323	233868	Broca helicoidal HSS 1/16" (12)	     12	PC				A	15.08.2024
	8650	8650	0001	680995967	234460	Espuma de aislamiento CF-I 50 ECO GV	     96	PC	HILTI			A	23.09.2024
	3000	3000	0001	681035820	234460	Espuma de aislamiento CF-I 50 ECO GV	    144	PC	HILTI			A	09.10.2024
	8650	8650	0001	681047909	234460	Espuma de aislamiento CF-I 50 ECO GV	     12	PC	HILTI			A	30.10.2024
	8650	8650	0001	681047909	234460	Espuma de aislamiento CF-I 50 ECO GV	     96	PC	HILTI			A	30.10.2024
	8650	8650	0001	681047909	234460	Espuma de aislamiento CF-I 50 ECO GV	     84	PC	HILTI			A	30.10.2024
	3000	3000	0001	681088045	234460	Espuma de aislamiento CF-I 50 ECO GV	    144	PC	HILTI			A	23.10.2024
	8650	8650	0001	681106381	234460	Espuma de aislamiento CF-I 50 ECO GV	     96	PC	HILTI			A	14.10.2024
	3000	3000	0001	680792677	236120	Extremo de inserción BI (M41)	    120	PC	HILTI			A	13.09.2024
	3000	3000	0001	680920047	236120	Extremo de inserción BI (M41)	    120	PC	HILTI			A	24.09.2024
	8330	8330	0001	681026114	236120	Encabadouro/Encaixe BI (M41)	     90	PC	HILTI			A	11.10.2024
	3000	3000	0001	681088064	236120	Extremo de inserción BI (M41)	     90	PC	HILTI			A	23.10.2024
	3000	3000	0001	681088065	236120	Extremo de inserción BI (M41)	     60	PC	HILTI			A	23.10.2024
	8330	8330	0001	681106570	236120	Encabadouro/Encaixe BI (M41)	     90	PC	HILTI			A	22.10.2024
	8750	8750	0001	681048714	237330	Clavo universal X-U 16 P8	 18.000	PC	HILTI			A	16.10.2024
	8750	8750	0001	207761462	237331	Clavo universal X-U 19 P8	  1.000	PC	HILTI			A	02.05.2023
	8750	8750	0001	681037406	237335	Clavo universal X-U 37 P8	    600	PC	HILTI			A	13.09.2024
	8750	8750	0001	681037407	237335	Clavo universal X-U 37 P8	    900	PC	HILTI			A	13.09.2024
	3000	3000	0001	680792650	237345	Clavo universal X-U 19 MX	  1.800	PC	HILTI			A	13.09.2024
	3000	3000	0001	680859363	237345	Clavo universal X-U 19 MX	  1.800	PC	HILTI			A	17.09.2024
	3000	3000	0001	680920073	237345	Clavo universal X-U 19 MX	  3.000	PC	HILTI			A	24.09.2024
	3000	3000	0001	680920074	237345	Clavo universal X-U 19 MX	  1.300	PC	HILTI			A	24.09.2024
	3000	3000	0001	681150383	237345	Clavo universal X-U 19 MX	  2.300	PC	HILTI			A	06.11.2024
	3000	3000	0001	681150384	237345	Clavo universal X-U 19 MX	 18.000	PC	HILTI			A	06.11.2024
	3000	3000	0001	680859363	237347	Clavo universal X-U 27 MX	    100	PC	HILTI			A	17.09.2024
	3000	3000	0001	680920074	237347	Clavo universal X-U 27 MX	    500	PC	HILTI			A	24.09.2024
	3000	3000	0001	681035822	237347	Clavo universal X-U 27 MX	  1.000	PC	HILTI			A	09.10.2024
	3000	3000	0001	681088043	237347	Clavo universal X-U 27 MX	  2.100	PC	HILTI			A	23.10.2024
	3000	3000	0001	680792661	237351	Clavo universal X-U 47 MX	  2.800	PC	HILTI			A	13.09.2024
	3000	3000	0001	680859329	237351	Clavo universal X-U 47 MX	  2.700	PC	HILTI			A	17.09.2024
	3000	3000	0001	680859330	237351	Clavo universal X-U 47 MX	  9.000	PC	HILTI			A	17.09.2024
	3000	3000	0001	680920046	237351	Clavo universal X-U 47 MX	    900	PC	HILTI			A	24.09.2024
	3000	3000	0001	680920047	237351	Clavo universal X-U 47 MX	  6.000	PC	HILTI			A	24.09.2024
	3000	3000	0001	680920049	237351	Clavo universal X-U 47 MX	 15.000	PC	HILTI			A	24.09.2024
	3000	3000	0001	680920049	237351	Clavo universal X-U 47 MX	  9.000	PC	HILTI			A	24.09.2024
	3000	3000	0001	680920057	237351	Clavo universal X-U 47 MX	  6.000	PC	HILTI			A	24.09.2024
	3000	3000	0001	681036356	237351	Clavo universal X-U 47 MX	    500	PC	HILTI			A	09.10.2024
	3000	3000	0001	681036358	237351	Clavo universal X-U 47 MX	 24.000	PC	HILTI			A	09.10.2024
	3000	3000	0001	681036359	237351	Clavo universal X-U 47 MX	  3.000	PC	HILTI			A	09.10.2024
