26.03.2025				                                                                                                                          List complete material master																																  1


		SOrg.	Plnt		Material	Material number	X-Plant Material Status	MS	   Gross weight	WUn	Spart	ValidFrom	Min.order qty	BUn	Orig	Web	FM rel.	Av	PGr	GRT	Typ	MRPCn	  Min.lot size	BUn	SPT	 PDT	TABCD	XYZ	Pl	   Safety Stock	 Rounding val.	BUn	R.profile	LS	Min. dely qty		BUn
		8300	8330		2320541	E-learning dust team reg.	14	40	             0	KG		01.09.2023	           1	PC					L13	 0	ND	L13	            1	PC	20	  1	D	N		             0	            1	PC	Z004	EX	           1		PC
		8300	8330		2320543	E-learning chem product team reg.	14	40	             0	KG		01.09.2023	           1	PC					L13	 0	ND	L13	            1	PC	20	  1	D	N		             0	            1	PC	Z004	EX	           1		PC
		8300	8330		2335692	ON!Track unite subscription (beta)	14	40	             0	KG		01.09.2023	           1	PC			F		L13	 0	ND	L13	            1	PC	20	  1	D	N		             0	            1	PC	Z004	EX	           1		PC
		8300	8330		2292239	Set-up service 1h basic	14	40	             0	G		23.09.2020	       1,000	H	BR				L13	 0	ND	L13	        1,000	H	20	  1	D	N		         0,000	        1,000	H	Z004	EX	       1,000		H
		8300	8330		2292940	Account activation	14	40	             0	G		23.09.2020	           1	PC	BR				L13	 0	ND	L13	            1	PC	20	  1	D	N		             0	            1	PC	Z004	EX	           1		PC
		8300	8330		2292941	Travel expenses	14	40	             0	G		23.09.2020	           1	PC	BR				L13	 0	ND	L13	            1	PC	20	  1	D	N		             0	            1	PC	Z004	EX	           1		PC
		8300	8330		2292942	Set-up service ON!Track basic	14	40	             0	G		23.09.2020	           1	PC	BR				L13	 0	ND	L13	            1	PC	20	  1	D	N		             0	            1	PC	Z004	EX	           1		PC
		8300	8330		2292943	Set-up service ON!Track small	14	40	             0	G		23.09.2020	           1	PC	BR				L13	 0	ND	L13	            1	PC	20	  1	D	N		             0	            1	PC	Z004	EX	           1		PC
		8300	8330		2292945	Set-up service ON!Track large	14	40	             0	G		23.09.2020	           1	PC	BR				L13	 0	ND	L13	            1	PC	20	  1	D	N		             0	            1	PC	Z004	EX	           1		PC
		8300	8330		2292946	Set-up service ON!Track advanced	14	40	             0	G		23.09.2020	           1	PC	BR				L13	 0	ND	L13	            1	PC	20	  1	D	N		             0	            1	PC	Z004	EX	           1		PC
		8300	8330		2292947	Set-up service ON!Track customized	14	40	             0	G		23.09.2020	           1	PC	BR				L13	 0	ND	L13	            1	PC	20	  1	D	N		             0	            1	PC	Z004	EX	           1		PC
		8300	8330		2292948	Onsite tagging support 1/2d	14	40	             0	G		23.09.2020	           1	PC	BR				L13	 0	ND	L13	            1	PC	20	  1	D	N		             0	            1	PC	Z004	EX	           1		PC
		8300	8330		2292949	Onsite tagging support 1 day	14	40	             0	G		23.09.2020	           1	PC	BR				L13	 0	ND	L13	            1	PC	20	  1	D	N		             0	            1	PC	Z004	EX	           1		PC
		8300	8330		2292951	ON!Track training 1 day	14	40	             0	G		23.09.2020	           1	PC	BR				L13	 0	ND	L13	            1	PC	20	  1	D	N		             0	            1	PC	Z004	EX	           1		PC
		8300	8330		2292952	Weekend supplement	14	40	             0	G		23.09.2020	           1	PC	BR				L13	 0	ND	L13	            1	PC	20	  1	D	N		             0	            1	PC	Z004	EX	           1		PC
		8300	8330		2292953	Software Setup 1h	14	40	             0	G		23.09.2020	       1,000	H	BR				L13	 0	ND	L13	        1,000	H	20	  1	D	N		         0,000	        1,000	H	Z004	EX	       1,000		H
		8300	8330		2292954	Onsite tagging support 1h	14	40	             0	G		23.09.2020	       1,000	H	BR				L13	 0	ND	L13	        1,000	H	20	  1	D	N		         0,000	        1,000	H	Z004	EX	       1,000		H
		8300	8330		2292955	ON!Track training 1h	14	40	             0	G		23.09.2020	       1,000	H	BR				L13	 0	ND	L13	        1,000	H	20	  1	D	N		         0,000	        1,000	H	Z004	EX	       1,000		H
		8300	8330		2292956	Tagging partner	14	40	             0	G		23.09.2020	           1	PC	BR				L13	 0	ND	L13	            1	PC	20	  1	D	N		             0	            1	PC	Z004	EX	           1		PC
		8300	8330		2296086	On-site analysis asset management basic	14	40	             0	G		23.09.2020	           1	PC	BR				L13	 0	ND	L13	            1	PC	20	  1	D	N		             0	            1	PC	Z004	EX	           1		PC
		8300	8330		2296087	On-site analysis asset management	14	40	             0	G		23.09.2020	           1	PC	BR				L13	 0	ND	L13	            1	PC	20	  1	D	N		             0	            1	PC	Z004	EX	           1		PC
		8300	8330		2296088	On-site analysis tool park basic	14	40	             0	G		23.09.2020	           1	PC	BR				L13	 0	ND	L13	            1	PC	20	  1	D	N		             0	            1	PC	Z004	EX	           1		PC
		8300	8330		2296089	On-site analysis tool park	14	40	             0	G		23.09.2020	           1	PC	BR				L13	 0	ND	L13	            1	PC	20	  1	D	N		             0	            1	PC	Z004	EX	           1		PC
		8300	8330		2296091	Productivity consultation basic	14	40	             0	G		23.09.2020	           1	PC	BR				L13	 0	ND	L13	            1	PC	20	  1	D	N		             0	            1	PC	Z004	EX	           1		PC
		8300	8330		2296090	Productivity analysis	14	40	             0	G		23.09.2020	           1	PC	BR				L13	 0	ND	L13	            1	PC	20	  1	D	N		             0	            1	PC	Z004	EX	           1		PC
		8300	8330		2454049	Pre-assembly service	14	40	             0	KG		21.11.2024	           1	PC					L13	 0			            0	PC		  0				             0	            0	PC			           1		PC
		8300	8330		2454409	Cutting service	14	40	             0	KG		21.11.2024	           1	PC					L13	 0			            0	PC		  0				             0	            0	PC			           1		PC
		8300	8330		2454526	Kitting service	14	40	             0	KG		21.11.2024	           1	PC					L13	 0			            0	PC		  0				             0	            0	PC			           1		PC
		8300	8330		2455572	Cutting service	14	40	             0	KG		21.11.2024	           1	PC					L13	 0			            0	PC		  0				             0	            0	PC			           1		PC
		8300	8330		2455135	Kitting service	14	40	             0	KG		21.11.2024	           1	PC					L13	 0			            0	PC		  0				             0	            0	PC			           1		PC
		8300	8330		2097332	PROFIS Anchor	18	80	             0	G		15.08.2019	           1	PC					L13	 0	ND	L13	            0	PC		  0	D	Z	X	             0	            0	PC	Z003		           1		PC
		8300	8330		2158730	Training installer PP FS Joint Applicat.	14	80	             0	G		16.12.2018	           1	PRS				ZC	L13	 0	ND	L13	            0	PRS		  0	D	Z	X	             0	            0	PRS	Z004		           1		PRS
		8300	8330		2158729	Training installer PP FS Pipe Applicat.	14	80	             0	G		16.12.2018	           1	PRS				ZC	L13	 0	ND	L13	            0	PRS		  0	D	Z	X	             0	            0	PRS	Z004		           1		PRS
		8300	8330		2158728	Training installer PP FS Cable Applicat.	14	80	             0	G		16.12.2018	           1	PRS				ZC	L13	 0	ND	L13	            0	PRS		  0	D	Z	X	             0	            0	PRS	Z004		           1		PRS
		8300	8330		2158727	Training installer PP FS Applications	14	80	             0	G		16.12.2018	           1	PRS				ZC	L13	 0	ND	L13	            0	PRS		  0	D	Z	X	             0	            0	PRS	Z004		           1		PRS
		8300	8330		2158726	Training installer PP FS Fundamentals	14	80	             0	G		16.12.2018	           1	PRS				ZC	L13	 0	ND	L13	            0	PRS		  0	D	Z	X	             0	            0	PRS	Z004		           1		PRS
		8300	8330		2158723	Training installer PG FS Joint Applicat.	14	80	             0	G		16.12.2018	           1	PC				ZC	L13	 0	ND	L13	            0	PC		  0	D	Z	X	             0	            0	PC	Z004		           1		PC
		8300	8330		2158722	Training installer PG FS Pipe Applicat.	14	80	             0	G		16.12.2018	           1	PC				ZC	L13	 0	ND	L13	            0	PC		  0	D	Z	X	             0	            0	PC	Z004		           1		PC
		8300	8330		2158721	Training installer PG FS Cable Applicat.	14	80	             0	G		16.12.2018	           1	PC				ZC	L13	 0	ND	L13	            0	PC		  0	D	Z	X	             0	            0	PC	Z004		           1		PC
		8300	8330		2158720	Training installer PG FS Applications	14	80	             0	G		16.12.2018	           1	PC				ZC	L13	 0	ND	L13	            0	PC		  0	D	Z	X	             0	            0	PC	Z004		           1		PC
		8300	8330		2158449	Training installer PG FS Fundamentals	14	80	             0	G		16.12.2018	           1	PC				ZC	L13	 0	ND	L13	            0	PC		  0	D	Z	X	             0	            0	PC	Z004		           1		PC
		8300	8330		2097335	PROFIS installation sys.	14	80	             0	G		15.08.2019	           1	PC					L13	 2	ND	L13	            0	PC		  0	D	Z	X	             0	            0	PC	Z003		           1		PC
		8300	8330		2097333	PROFIS Rebar	14	80	             0	G		15.08.2019	           1	PC					L13	 0	ND	L13	            0	PC		  0	D	Z	X	             0	            0	PC	Z003		           1		PC
		8300	8330		3481875	lixeira	18	80	             1	G		03.09.2011	           1	PC				ZC	BR1	 0	ND	BR1	            0	PC		  0	D	Z	X	             0	            0	PC	Z004		           1		PC
		8300	8330		3635234	Projeto 2D de selagem resistente ao fogo	14	40	             0	G		21.02.2024	           1	PC					L13	 2	ND	L13	            1	PC	20	  0	D	N		             0	            1	PC	Z001		           1		PC
		8300	8330		3901967	TRANSFERENCIA DE SALDO DE ICMS DEVEDOR	14	80	             1	G		10.11.2023	           1	PC				ZC	BR1	 0			            0	PC		  0			X	             0	            0	PC	Z004		           1		PC
		8300	8330		2097334	PROFIS anchor channel	14	40	             0	G		02.06.2021	           1	PC					L13	 0	ND	L13	            1	PC	20	  1	D	N		             0	            1	PC	Z004	EX	           1		PC
		8300	8330		3810008	Plan de Negocio	14	40	             1	G		21.06.2022	           1	PC	CL				BR1	 2	ND	BR1	            0	PC		  0	D	N		             0	            0	PC	Z004		           1		PC
		8300	8330		2331242	E-learning all H+S courses	14	14	             0	KG		20.09.2022	           1	PC					L13	 0	ND	L13	            0	PC		  0	D	N		             0	            0	PC	Z004		           1		PC
		8300	8330		3682162	Quotation for Fire Stop sys.	14	80	             0	G		25.06.2020	       1,000	H					L13	 0	ND	L13	        1,000	H	20	  1	D	Z	X	         0,000	        1,000	H			       1,000		H
		8300	8330		2291118	Remote HS Training (PP) basic	14	80	             0	G		24.06.2020	           1	PRS					L13	 0	ND	L13	            1	PRS	20	  1	D	Z	X	             0	            1	PRS	Z004		           1		PRS
		8300	8330		2291119	Remote HS Training (PP) angle grinder	14	80	             0	G		24.06.2020	           1	PRS					L13	 0	ND	L13	            1	PRS	20	  1	D	Z	X	             0	            1	PRS	Z004		           1		PRS
		8300	8330		2291840	Remote HS Training (PP) flying sparks	14	80	             0	G		24.06.2020	           1	PRS					L13	 0	ND	L13	            1	PRS	20	  1	D	Z	X	             0	            1	PRS	Z004		           1		PRS
		8300	8330		2291841	Remote HS Training (PP) drilling + demol	14	80	             0	G		24.06.2020	           1	PRS					L13	 0	ND	L13	            1	PRS	20	  1	D	Z	X	             0	            1	PRS	Z004		           1		PRS
		8300	8330		2291842	Remote HS Training (PP) chem product	14	80	             0	G		24.06.2020	           1	PRS					L13	 0	ND	L13	            1	PRS	20	  1	D	Z	X	             0	            1	PRS	Z004		           1		PRS
		8300	8330		2291843	Remote HS Training (PP) dust	14	80	             0	G		24.06.2020	           1	PRS					L13	 0	ND	L13	            1	PRS	20	  1	D	Z	X	             0	            1	PRS	Z004		           1		PRS
		8300	8330		2291844	Remote HS Training (PP) vibration	14	80	             0	G		24.06.2020	           1	PRS					L13	 0	ND	L13	            1	PRS	20	  1	D	Z	X	             0	            1	PRS	Z004		           1		PRS
		8300	8330		2291845	Remote HS Training (PP) gas saw	14	80	             0	G		24.06.2020	           1	PRS					L13	 0	ND	L13	            1	PRS	20	  1	D	Z	X	             0	            1	PRS	Z004		           1		PRS
		8300	8330		2205165	Safe handling (PG) Li-ion batteries	14	80	             0	G		16.12.2018	           1	PRS					L13	 0	ND	L13	            0	PRS		  0	D	Z	X	             0	            0	PRS	Z004		           1		PRS
		8300	8330		2205164	Safe handling (PP) Li-ion batteries	14	80	             0	G		16.12.2018	           1	PC					L13	 0	ND	L13	            0	PC		  0	D	Z	X	             0	            0	PC	Z004		           1		PC
		8300	8330		3121778	CABO CONDUTOR P/ MART2.0 X 1.5	14	40	           420	G		16.05.2023	           1	PC	BR			ZR	U26	 2			            0	PC		  0				             0	            0	PC	Z004		           1		PC
		8300	8330		283912	Despatch material 1	14	40	             0	G		26.11.2020	           1	PC	IT				U26	 2	ND	U26	            1	PC	20	 30	D	N		             0	            1	PC	Z004	EX	           1		PC
		8300	8330		3950	Flat wrench SW41	14	40	           595	G		03.09.2011	           1	PC	JP			ZC	L09	 2	X6	L09	            1	PC	4C	 61	D	N		             0	            1	PC	Z004	PK	           1		PC
		8300	8330		3994	Adhesive LOCTITE 243 50CCM	14	40	        78,600	G	X	03.09.2011	           1	PC	IE	X		ZC	L08	 2	X6	L08	            1	PC	4C	 61	B	N		             0	            1	PC	Z004	PK	           1		PC
		8300	8330		9847	Core bit extension DD-BR-EX 300	14	40	     1.427,370	G		03.09.2011	           1	PC	NL			ZC	L05	 2	X6	L05	            1	PC	4C	 61	D	N		             0	            1	PC	Z004	PK	           1		PC
		8300	8330		20847	Heavy-d. pipe ring MP-MI 3/4" G	14	40	       126,160	G		31.07.2014	          25	PC	ES	X		ZC	L06	 2	X6	L06	           25	PC	U0	 59	D	N		             0	           25	PC	Z004	PK	          25		PC
		8300	8330		20851	Heavy-d. pipe ring MP-MI 1 1/4" G	14	40	       154,960	G		31.07.2014	          25	PC	ES	X		ZC	L06	 2	X6	L06	           25	PC	U0	 59	D	N		             0	           25	PC	Z004	PK	          25		PC
		8300	8330		213869	Pressure piece assy	14	40	            68	G	X	03.09.2011	           1	PC	CH	X		ZC	L05	 2	X6	L05	            1	PC	4C	 61	D	N		             0	            1	PC	Z004	PK	           1		PC
		8300	8330		216437	Coupling nut M10x30 round	14	40	        15,169	G		03.09.2011	          50	PC	CN	X		ZC	L06	 2	X6	L06	           50	PC	4C	 61	D	N		             0	           50	PC	Z004	PK	          50		PC
		8300	8330		224733	Operating instr. DD 350/500 P1	14	40	       663,800	G		03.09.2011	           1	PC	DE			ZC	L05	 2	X6	L05	            1	PC	4C	 61	D	N		             0	            1	PC	Z004	PK	           1		PC
		8300	8330		226042	Electro box assy	18	40	        12.800	G		03.09.2011	           1	PC	CH			ZC	L12	 2	X6	L12	            1	PC	4C	 61	D	N		             0	            1	PC	Z004	PK	           1		PC
		8300	8330		229813	Comfort pipe ring MPN-S 1/2" A	18	40	        61,760	G		31.07.2014	          25	PC	ES	X		ZC	L06	 2	X6	L06	           25	PC	U0	 59	D	N		             0	           25	PC	Z004	PK	          25		PC
		8300	8330		229819	Comfort pipe ring MPN-S 35/39 A	18	40	            73	G		31.07.2014	          25	PC	ES	X		ZC	L06	 2	X6	L06	           25	PC	U0	 59	D	N		             0	           25	PC	Z004	PK	          25		PC
		8300	8330		236801	Gasket set DD-BV-P	14	40	           165	G		03.09.2011	           1	PC	IT			ZC	L05	 2	X6	L05	            1	PC	4C	 61	D	N		             0	            1	PC	Z004	PK	           1		PC
		8300	8330		236802	Seal DD-BAV-10	14	40	       110,500	G		03.09.2011	           1	PC	CH			ZC	L05	 2	X6	L05	            1	PC	4C	 85	D	N		             0	            1	PC	Z004	PK	           1		PC
		8300	8330		244311	Extractor 12-16MM	14	40	        97,700	G		03.09.2011	           1	PC	DE			ZC	L05	 2	X6	L05	            1	PC	4C	 61	D	N		             0	            1	PC	Z004	PK	           1		PC
		8300	8330		244312	Extractor 18-23MM	14	40	           199	G		03.09.2011	           1	PC	DE			ZC	L05	 2	X6	L05	            1	PC	4C	 61	D	N		             0	            1	PC	Z004	PK	           1		PC
		8300	8330		244394	Repair tool set TE 905	18	40	        14.944	G		03.09.2011	           1	PC	LI			ZC	L08	 2	X6	L08	            1	PC	4C	 61	D	N		             0	            1	PC	Z004	PK	           1		PC
		8300	8330		264581	Connection end TE-Y CBH 12	14	40	       239,030	G		03.09.2011	           1	PC	DE			ZC	L08	 2	X6	L08	            1	PC	4C	 61	D	N		             0	            1	PC	Z004	PK	           1		PC
		8300	8330		267865	Piston X-AP 8K-GR	18	40	           174	G	X	03.09.2011	           1	PC	AT			ZC	L04	 2	X6	L04	            1	PC	4C	 61	D	N		             0	            1	PC	Z004	PK	           1		PC
		8300	8330		273609	Wall saw blade DS-BT 500/CM-5E Silent	14	40	         5.500	G		03.09.2011	           1	PC	HU			ZC	L12	 2	X6	L12	            1	PC	U0	 59	D	N		             0	            1	PC	Z004	PK	           1		PC
		8300	8330		273610	Wall saw blade DS-BT 700/CM-5E Silent	14	40	        11.000	G		03.09.2011	           1	PC	HU			ZC	L12	 2	X6	L12	            1	PC	U0	 59	D	N		             0	            1	PC	Z004	PK	           1		PC
		8300	8330		279200	Chain attachment packed	14	40	        17,500	G	X	03.09.2011	           1	PC	CN	X		ZC	L05	 2	X6	L05	            1	PC	4C	 61	D	N		             0	            1	PC	Z004	PK	           1		PC
		8300	8330		281557	Grooved ball bear. 15X35X11	14	40	            42	G	X	03.09.2011	           5	PC	IT	X		ZC	L08	 2	X6	L08	            5	PC	4C	 61	D	N		             0	            1	PC	Z004	PK	           5		PC
		8300	8330		284805	Accessory kit DS-TS	14	40	        68.000	G		03.09.2011	           1	PC	CH			ZC	L12	 2	X6	L12	            1	PC	4C	 77	D	N		             0	            1	PC	Z004	PK	           1		PC
		8300	8330		284816	Rail support DS-RFP-L	14	40	         3.193	G		31.07.2014	           1	PC	CZ	X		ZC	L12	 2	X6	L12	            1	PC	U4	 60	D	N		             0	            1	PC	Z004	PK	           1		PC
		8300	8330		289102	Demonstration case AM 007	14	40	         1.399	G		03.09.2011	           1	PC	CH			ZC	L02	 2	X6	L02	            1	PC	4C	 61	D	N		             0	            1	PC	Z004	PK	           1		PC
		8300	8330		304032	Connector MQV-2/2 D-R	14	40	       439,300	G		31.07.2014	          10	PC	TR	X		ZC	L06	 2	X6	L06	           10	PC	U0	 59	D	N		             0	           10	PC	Z004	PK	          10		PC
		8300	8330		304233	Fixed point pipe ring MFP-L NW 20 M20-F	14	40	           415	G		31.07.2014	          20	PC	AT	X		ZC	L06	 2	X6	L06	           20	PC	4C	101	D	N		             0	           20	PC	Z004	PK	          20		PC
		8300	8330		305537	Guide rail extension DD-HD30-XT	14	40	         7.500	G	X	03.09.2011	           1	PC	CN	X		ZC	U26	 2	X6	U26	            1	PC	4C	 61	D	N		             0	            1	PC	Z004	PK	           1		PC
		8300	8330		310336	Guide rail D-R100L	14	40	        15.260	G		15.08.2019	           1	PC	CZ			ZC	L12	 2	X6	L12	            1	PC	U4	 60	D	N		             0	            1	PC	Z004	PK	           1		PC
		8300	8330		312375	T-head bolt HHK 41 M10x100	14	40	       111,800	G		15.08.2019	          40	PC	TR	X		ZC	L06	 2	X6	L06	           40	PC	U0	 59	D	N		             0	           40	PC	Z004	PK	          40		PC
		8300	8330		314139	Refrig. pipe ring MIP-H/114	16	40	       496,500	G		15.08.2019	           4	PC	DE	X		ZC	L06	 2	X6	L06	            4	PC	4C	 61	D	N		             0	            4	PC	Z004	PK	           4		PC
		8300	8330		314161	Refrig. pipe ring MIP-M/165-168	14	40	         1.160	G		15.08.2019	           3	PC	DE	X		ZC	L06	 2	X6	L06	            3	PC	4C	 71	D	N		             0	            3	PC	Z004	PK	           3		PC
		8300	8330		314805	Tripod head PE 1021	14	40	           274	G		15.08.2019	           1	PC	DE			ZC	L07	 2	X6	L07	            1	PC	4C	 61	D	N		             0	            1	PC	Z004	PK	           1		PC
		8300	8330		338129	Telescopic staff PA 951 (CM)	14	40	         2.840	G		15.08.2019	           1	PC	DE			ZC	L07	 2	X6	L07	            1	PC	4C	 61	D	N		             0	            1	PC	Z004	PK	           1		PC
		8300	8330		341960	Repair tool set DD EC-1 assy	16	40	         9.100	G		15.08.2019	           1	PC	LI			ZC	L05	 2	X6	L05	            1	PC	4C	 61	D	N		             0	            1	PC	Z004	PK	           1		PC
		8300	8330		342416	Testing jig	14	40	           881	G		15.08.2019	           1	PC	CH			ZC	L05	 2	X6	L05	            1	PC	4C	 61	D	N		             0	            1	PC	Z004	PK	           1		PC
		8300	8330		342846	Repair tool set DD 200 assy	16	40	        15.187	G		15.08.2019	           1	PC	LI			ZC	L05	 2	X6	L05	            1	PC	4C	 61	D	N		             0	            1	PC	Z004	PK	           1		PC
