13.09.2024                                                                                                                                                                                                                           Dynamic List Display                                                                                                                                                                                                                                                                                    1


		Material	Material Description	Plnt	MS	Typ	Combo Ind	BO items	      GrpValue	Curr.	BO quan.	Avail. QTY	Alt.ATP	SU	Altern.?	MM note	BO Note	Foc.Cust	l.postp.	maxDlvDate	ResCount	maxiPDdel.	maxRDdelay	maxPDdelay	 RES QTY	  PO qty	Next PO	  PO qty	Deliv.date	TABCD	XYZ	 PDT	ProcType	SPT	lastResc	PDcount	MRPCn	Name
		2141083	Universal nail X-U 16 P8	3000	40	X0		      1	    1.696.360	CLP	  6.100	-6.100		PC				X		24.09.2024	      1		        6		 12.000	 12.000	4537308892	  6.000	17.09.2024	B	X	 14	F	4M	13.09.2024	     1	L04	Angie Vergara
		2198037	Anchor rod HAS-V-36 HDG 5/8"x6"	3000	40	X6		      2	   23.720.050	CLP	  5.060	-5.060		PC				X	11.09.2024	08.10.2024	     19	       54	       70	       54	  4.320	    800	4537341890	    800	24.09.2024	D	Z	 14	F	90	13.09.2024	     1	L01	Ana Sousa
		371371	Soft washer X-SW 60 MX	3000	40	X6		      1	      984.822	CLP	  5.000	-5.000		PC				X	19.08.2024	16.10.2024	      8	       14	       62	       14		  5.000	4537200958	  5.000	09.10.2024	C	Z	 58	F	U0	19.08.2024	     1	L04	Angie Vergara
		2210240	Ultimate exp anc KB-TZ2 3/8x7	3000	40	X0		      5	   35.859.745	CLP	  4.900	-4.900		PC				X	11.09.2024	26.09.2024	      7	       11	       31	       11		  7.200	4537308903	  4.800	17.09.2024	B	Y	 14	F	4M	12.09.2024	     1	L02	Ana Sousa
		2230434	Hexagon bolt OS  S-M HE-M10x40 A4	3000	40	X6		      1	   13.128.075	CLP	  4.700	-4.700		PC				X	10.09.2024	25.09.2024	     28		       52		  8.000	  4.700	4537192944	  4.700	14.08.2024	C	Z	 84	F	20	10.09.2024	     1	L11	Reinaldo Vargas
		2095650	T-head bolt HBC-C M16x60 8.8F	3000	40	X6		      2	    8.978.456	CLP	  4.700	-4.700		PC				X	06.09.2024	17.10.2024	      8	       17	       34	       17		  6.400	4537341876	  2.400	24.09.2024	B	Z	 58	F	U0	09.09.2024	     1	L02	Ana Sousa
		2346061	Threaded stud S-BT-MF W10/15 AN 6 HL	8650	33	X0		      2		CLP	  4.700	-4.700		PC				X		30.12.2024					  6.300		13515714	  1.800	25.09.2024	D	Z	 53	F	4C		     1	L10	Angie Vergara
		423870	Frame anchor HRD-H 10x60	8650	40	X6		      2	    1.780.770	CLP	  4.100	-4.100		PC				X	05.09.2024	03.10.2024	      8		       37			  4.100	4537152887	  1.300	23.09.2024	D	N	 51	F	U0	09.09.2024	     1	L02	Ana Sousa
		2288478	Beam clamp OS S-M BC-U-35/10 SS	3000	33	X6		      1	   54.043.909	CLP	  4.000	-4.000		PC				X	10.09.2024	25.09.2024	     26		       52		  4.000	  4.000	4537192943	  4.000	14.08.2024	D	Z	 98	F	20	10.09.2024	     1	L11	Reinaldo Vargas
		2230437	Hexagon nut OS S-M NU-M10 A4	3000	40	X6		      1	    1.317.184	CLP	  4.000	-4.000		PC				X	10.09.2024	25.09.2024	     28		       52		    400	  4.000	4537192944	  4.000	14.08.2024	C	Z	 84	F	20	10.09.2024	     1	L11	Reinaldo Vargas
		2156218	High performance nail X-P 24 B3 MX	3000	40	X0		      5	    1.014.610	CLP	  4.000	-4.000		PC				X	04.09.2024	24.09.2024	      5	       19	       37	       19		 48.000	4536903312	  9.600	19.08.2024	B	X	 60	F	4C	04.09.2024	     1	L04	Angie Vergara
		2149989	Concrete nail X-C 36 B3 MX	8650	40	X0		      1		CLP	  4.000	-4.000		PC				X		30.09.2024						 18.000	4537152907	  6.000	23.09.2024	C	Y	 51	F	U0		     1	L04	Angie Vergara
		423472	Screw anchor KH-EZ 1/4"x1 5/8" I 3/8"	3000	40	X0		      2	    3.890.546	CLP	  3.900	-3.900		PC				X	12.09.2024	22.10.2024	     41	       53	       66	       53	  7.100		13406434	  1.700	17.10.2024	B	Y	 14	F	90	12.09.2024	     1	L02	Ana Sousa
		2304133	Beam clamp S-M BC-U-25/10/8 SS	3000	40	X6		      1	   43.760.251	CLP	  3.841	-3.841		PC				X	10.09.2024	28.10.2024	     27		       75		  7.841		13516302	  4.000	23.10.2024	B	Z	 98	F	20	10.09.2024	     1	L11	Reinaldo Vargas
		2158772	Hollow wall met. anchor HTB-2-S 1/4 SRH	8650	40	X0		      5	    4.994.055	CLP	  3.700	-3.700		PC				X	02.09.2024	03.10.2024	      5	        8	       30	        8		 10.000	4537080972	  5.500	22.07.2024	A	X	 56	F	90	02.09.2024	     1	L02	Ana Sousa
		2126550	Self-drill screw S-AD01S 5,5x16	3000	60	X6		      1	    1.444.797	CLP	  3.500	-3.500		PC				X	13.09.2024	27.11.2024	      6	       12	       61	       12						D	Z	 58	F	U0	13.09.2024	     1	L04	Angie Vergara
		2346065	Threaded stud S-BT-MR W10/15 SN 6 HL	3000	40	X0		      3	   56.041.613	CLP	  3.500	-3.500		PC				X	06.09.2024	26.09.2024	      1	        7	       17	        7	  5.000	  5.500	4536903334	    100	19.08.2024	C	Z	 60	F	4C	06.09.2024	     1	L10	Angie Vergara
		2268527	Adapter M8-MF 50 (25)	3000	33	Y1		      7	   56.007.820	CLP	  3.300	-3.300		PC				X	12.09.2024	11.10.2024	     20		      123		  1.900	  1.750	4537132589	    100	25.09.2024	C	Y	 60	F	4C	13.09.2024	     1	L10	Angie Vergara
		2210239	Ultimate exp anc KB-TZ2 3/8x5	3000	40	X0		      3	   13.101.484	CLP	  3.300	-3.300		PC				X	13.09.2024	04.10.2024	      3		       14		  6.400	    150	4537235663	    150	04.09.2024	B	X	 14	F	4M	13.09.2024	     1	L02	Ana Sousa
		2208751	L.blt set LB-SET-LN-AV-M10x25 A4	8330	40	X0		      8	  273.193.989	CLP	  5.446	-3.174		PC				X	11.09.2024	02.12.2024	      5	       30	      999	       30	 54.060	137.978	4537038016	 19.600	15.07.2024	A	X	 78	F	20	11.09.2024	     1	L11	Reinaldo Vargas
		2169075	T-head bolt HBC-40/22 M12x80 8.8F	8330	40	X5		      1	   48.058.830	CLP	  3.000	-3.000		PC					20.08.2024	12.02.2025	      2	       86	      121	       86	  3.000	  2.000	4537186540	  2.000	01.10.2024	B	Z	 52	F	U0	20.08.2024	     1	L02	Ana Sousa
		2411237	Screw anchor KH-EZ 3/8"X3  1/2"	3000	33	Y1		      4	   11.723.271	CLP	  2.750	-2.750		PC				X	12.09.2024	17.10.2024	      5	        1	       47	        1	    600	  2.700	4537315823	  2.700	17.09.2024	D	N	 14	F	4M	12.09.2024	     1	L02	Ana Sousa
		2210253	Ultimate exp anc KB-TZ2 1/2x3	8650	40	X0		      3	    1.399.040	CLP	  2.680	-2.680		PC				X	12.09.2024	25.11.2024	     25	       32	       32	       32		  4.320	4537110964	  1.920	16.09.2024	A	Y	 56	F	90	12.09.2024	     1	L02	Ana Sousa
		386468	Ceiling hanger X-EHS W10 MX	3000	40	X0		      7	    1.094.618	CLP	  2.500	-2.500		PC				X	13.09.2024	25.11.2024	     20	       14	       66	       14		  2.400	4537060545	  1.200	11.09.2024	C	Y	 58	F	U0	13.09.2024	     1	L04	Angie Vergara
		2210177	Ultimate exp anc KB-TZ2 1/4x2 1/8 SS304	3000	33	X0		      5	    8.916.297	CLP	  2.400	-2.400		PC				X	05.09.2024	24.09.2024	      5	        1	       62	        1	  8.400	  3.600	4537308873	  2.400	17.09.2024	B	X	 14	F	4M	05.09.2024	     1	L02	Ana Sousa
		2290190	U-bolt UB-1"-M8 PT SS	3000	33	X6		      1	   39.558.282	CLP	  2.268	-2.268		PC				X	10.09.2024	03.10.2024	     18		       58		  3.000	  2.268	4537290669	  2.268	03.09.2024	D	Z	 98	F	20	10.09.2024	     1	L11	Reinaldo Vargas
		237330	Universal nail X-U 16 P8	8750	40	X0		      2	   15.430.443	CLP	  2.200	-2.200		PC				X	12.09.2024	24.10.2024	      2		       32		 48.000	 18.000	4537217384	 18.000	16.10.2024	B	X	 62	F	4C	12.09.2024	     1	L04	Angie Vergara
		2305883	Bracket MFT-FOX VI 60 S 11	8650	40	X6		      2	    4.146.042	CLP	  2.100	-2.100		PC				X	06.09.2024	03.10.2024	      8		       37			  2.100	4537219608	  2.100	07.10.2024	D	N	 52	F	U4	09.09.2024	     1	L06	Reinaldo Vargas
		2245634	Screw anchor KH-EZ SS316 1/4"x3"	3000	40	X6		      3	    9.833.067	CLP	  2.050	-2.050		PC					06.09.2024	03.10.2024	      7	       10	       10	       10		  2.050	4536983072	     50	02.09.2024	A	Y	 60	F	4C	06.09.2024	     1	L02	Ana Sousa
		2230166	Sleeve anchor HA NG 8x45 R1	8330	40	X6		      1	    2.514.439	CLP	  2.000	-2.000		PC						13.09.2024			       50			  2.000	4537043994	  1.200	03.09.2024	D	N	 54	F	4C		     1	L02	Ana Sousa
		237344	Universal nail X-U 16 MX	8750	40	Y1		      2	    1.144.711	CLP	  2.000	-2.000		PC					27.08.2024	21.11.2024	      2		       47		  3.000		13481726	  1.000	25.09.2024	D	N	 62	F	4C	27.08.2024	     1	L04	Angie Vergara
		2152675	T-head bolt HBC-T M16x60 8.8F	3000	40	X6		      3	    5.270.994	CLP	  1.800	-1.800		PC				X	10.09.2024	17.10.2024	     15	       17	       69	       17		  2.000	4537133886	    700	25.09.2024	C	Z	 58	F	U0	11.09.2024	     1	L02	Ana Sousa
		2210236	Ultimate exp anc KB-TZ2 3/8x3	3000	33	X0		      8	    4.061.027	CLP	  1.900	-1.800		PC				X	09.09.2024	24.09.2024	      2	        8	      999	        8	  6.400	 14.500	4537235663	  1.700	04.09.2024	T	X	 14	F	4M	09.09.2024	     1	L02	Ana Sousa
		2287819	Univ. anchor HUD-2 6x30 (200)	3000	40	X6		      1	      152.950	CLP	  1.800	-1.800		PC					06.09.2024	15.11.2024	      6	        8	       57	        8		  1.800	4537344857	  1.800	06.11.2024	D	Z	 58	F	U0	09.09.2024	     1	L02	Ana Sousa
		315939	Univ. anchor HUD-L 8x60 (200)	3000	33	X6		      1	      375.942	CLP	  1.800	-1.800		PC				X	09.09.2024	02.10.2024	      3		       24		  1.800		13513969	  1.800	30.09.2024	D	Z	 58	F	U0	09.09.2024	     1	L02	Ana Sousa
		2331537	A.-Channel HAC-V 50 106/300 F	3000	33	X6		      2	   18.727.148	CLP	  1.776	-1.776		PC				X	06.09.2024	03.10.2024	      1	       15	       25	       15	  1.160	  2.500	4537231668	    530	03.09.2024	D	Z	 59	F	U4	06.09.2024	     1	L02	Ana Sousa
		2210275	Ultimate exp anc KB-TZ2 5/8x8 1/2	3000	33	X0		      2	   28.215.159	CLP	  3.330	-1.770		PC				X	13.09.2024	09.10.2024	      4	        4	       19	        4						A	X	 14	F	4M	13.09.2024	     1	L02	Ana Sousa
		2231466	Premium exp anc KB1 3/4x4 3/4	8650	40	X0		      3		CLP	  1.900	-1.750		PC				X		20.12.2024	      1					  2.560	4537080974	    160	22.07.2024	B	Y	 56	F	90	04.09.2024	     1	L02	Ana Sousa
		2221951	Screw anchor KH-EZ CRC 3/8"x4"	3000	40	Y1		      2	   11.251.481	CLP	  1.600	-1.600		PC				X	11.09.2024	01.10.2024	     14	       34	       55	       34	  1.000	  1.700	4537249544	    100	06.09.2024	B	Y	 14	F	90	11.09.2024	     1	L02	Ana Sousa
		2168492	A.-Channel HAC-C 40/25 250 F	8330	40	X5		      2	   48.337.371	CLP	  1.516	-1.516		PC				X	20.08.2024	12.02.2025	      2	       90	      121	       90	  5.000	  1.557	4537084339	    700	10.09.2024	A	Z	166	F	U4	20.08.2024	     1	L02	Ana Sousa
		41503	Universal nail X-ENK 16 S12	3000	40	X6		      2	    1.282.453	CLP	  1.500	-1.500		PC				X	04.09.2024	17.10.2024	     37	       36	       86	       36		  1.500	4536903313	  1.100	19.08.2024	D	Z	 60	F	4C	04.09.2024	     1	L04	Angie Vergara
		237335	Universal nail X-U 37 P8	8750	40	X6		      1	    1.041.582	CLP	  1.500	-1.500		PC				X	04.09.2024	19.09.2024	      2	        2	       39	        2		  1.500	4537203272	    600	10.09.2024	D	Y	 62	F	4C	04.09.2024	     1	L04	Angie Vergara
		2349149	Grating disc X-FCM 32/37	8750	40	X0		      7	    6.462.509	CLP	  1.500	-1.500		PC				X		25.11.2024	      1		       57		  7.500	  2.600	4537081721	    200	18.09.2024	B	X	 62	F	4C	10.09.2024	     1	L04	Angie Vergara
		2207574	Flush anchor HDV 1/4"	3000	40	X0		      1	      639.625	CLP	  3.000	-1.500		PC				X		02.10.2024			       11		 16.200	  8.100	4537341877	  8.100	24.09.2024	B	Y	 14	F	90		     1	L02	Ana Sousa
		2252195	Elec. connector X-BT-ER M6/3 SN 8	3000	33	X5		      1		CLP	  3.000	-1.400		PC				X		06.12.2024					  7.200		13515712	  4.500	14.10.2024	D	Z	 60	F	4C		     1	L04	Angie Vergara
		2184532	Flat washer 16 17x30x3-F ISO 7089 200 HV	3000	40	X6		      1	      270.466	CLP	  1.300	-1.300		PC				X	26.08.2024	31.10.2024	      8	       17	       67	       17		  1.300	4537265529	    500	23.10.2024	D	N	 60	F	4C	26.08.2024	     1	L06	Reinaldo Vargas
		2156217	High performance nail X-P 20 B3 MX	3000	40	X0		      3	      216.602	CLP	  1.200	-1.200		PC				X	13.09.2024	26.09.2024	      7	       10	       68	       10		 43.200	4536983105	 28.800	02.09.2024	B	X	 60	F	4C	13.09.2024	     1	L04	Angie Vergara
		386468	Ceiling hanger X-EHS W10 MX	8650	40	X5		      2	      178.386	CLP	  1.200	-1.200		PC				X		08.11.2024	      1		       32			  2.800	4537216326	  1.600	07.10.2024	C	Y	 51	F	U0	09.09.2024	     1	L04	Angie Vergara
		2346062	Threaded stud S-BT-MR M8/7 SN 6 HL	3000	40	X6		      1	   10.642.475	CLP	  1.200	-1.200		PC				X	09.09.2024	02.10.2024	      7		       24		  1.200		13513969	  1.200	30.09.2024	D	Z	 60	F	4C	09.09.2024	     1	L10	Angie Vergara
		2346063	Threaded stud S-BT-MR M8/15 SN 6 HL	8650	33	Y1		      1	    8.927.885	CLP	  1.200	-1.200		PC				X	10.09.2024	04.10.2024	      2		       16		    600	    600	4537152938	    300	23.09.2024	D	Z	 53	F	4C	10.09.2024	     1	L10	Angie Vergara
		2210253	Ultimate exp anc KB-TZ2 1/2x3	3000	33	X0		      8	   14.948.581	CLP	  1.180	-1.180		PC				X	13.09.2024	17.10.2024	     23	       18	       38	       18	  2.880	  1.140	4537235659	    220	04.09.2024	B	X	 14	F	4M	13.09.2024	     1	L02	Ana Sousa
		2210266	Ultimate exp anc KB-TZ2 1/2x5 1/2 SS316	3000	33	Y1		      5	   21.870.742	CLP	  1.180	-1.180		PC				X	12.09.2024	03.10.2024	     10	       16	       34	       16	    580	  1.180	4537341873	    400	24.09.2024	D	Z	 14	F	90	13.09.2024	     1	L02	Ana Sousa
		2205247	L.blt set LB-SET-LN-AV-M6x12 A4	8330	40	X0		     10	    1.442.722	CLP	  1.839	-1.163		PC				X	14.08.2024	02.12.2024	      2		      999		  3.110	  8.966	4537038014	  4.400	15.07.2024	C	X	 78	F	20	15.08.2024	     1	L11	Reinaldo Vargas
		2184549	Flat washer 12 13x24x2,5 ISO 7089 A4 200	8330	40	X6		      2	      402.909	CLP	  1.200	-1.100		PC				X	02.08.2024	31.10.2024	      1	       14	       76	       14		  1.100	4537117641	    900	17.09.2024	D	Z	 54	F	4C	02.08.2024	     1	L06	Reinaldo Vargas
		2216396	L.nut LN-AV-FL-M8  A4	8330	33	X0		     10	    1.072.452	CLP	  1.500	-1.100		PC				X	30.08.2024	02.12.2024	      1	       25	      999	       25	  2.260	  2.388	4537038018	  1.000	15.07.2024	D	Y	 78	F	20	30.08.2024	     1	L11	Reinaldo Vargas
		423180	Screw anchor HUS3-I 6x55 M8/M10	8750	40	X5		      1	    2.556.680	CLP	  1.100	-1.100		PC				X	03.09.2024	26.11.2024	      2	        8	       61	        8	  1.300		13506236	  1.300	15.11.2024	D	Y	 60	F	U0	03.09.2024	     1	L02	Ana Sousa
		2018444	Anchor rod HIT-Z 1/2" x 6 1/2"	3000	40	X0		      4	    5.617.590	CLP	  1.420	-1.060		PC				X	13.09.2024	08.10.2024	      3	        4	      999	        4	  2.240	    960	4537341872	    960	24.09.2024	B	X	 14	F	90	13.09.2024	     1	L01	Ana Sousa
		2150735	Cutting disc AC-D SP 230x1.8	8750	40	X5		      2	   53.639.071	CLP	  1.050	-1.050		PC				X	03.09.2024	24.10.2024	     10	        2	       70	        2		  1.425	4537217436	  1.125	16.10.2024	D	X	 62	F	4C	03.09.2024	     1	L09	Daniel Ruiz
		2158774	Hollow wall met. anchor HTB-2-S 3/8 SRH	3000	40	X5		      1	    4.698.195	CLP	  1.050	-1.050		PC				X		30.09.2024	      2		       13			  1.250	4537341875	  1.250	24.09.2024	D	Z	 14	F	90	11.09.2024	     1	L02	Ana Sousa
		2150703	Cutting disc AC-D SP 115x2.5	3000	40	Y1		      1	    1.002.571	CLP	  1.025	-1.025		PC				X	21.08.2024	26.09.2024	      8	       10	       15	       10	 10.500	  3.000	4536983066	  1.500	02.09.2024	B	X	 60	F	4C	22.08.2024	     1	L09	Daniel Ruiz
		2221943	Screw anchor KH-EZ CRC 1/2"x3"	8320	40	Y1		      5		CLP	  1.020	-1.020		PC						26.10.2024										D	N	 47	F	90		     1	BR1	Vergeli, Nicole
		2091402	Concrete nail X-C 37 P8 S23 T (1000)	3000	40	X6		      1	    1.505.776	CLP	  1.000	-1.000		PC				X	29.07.2024	15.11.2024	     21	      127	      174	      127	  1.000	  1.000	4536366258	  1.000	13.05.2024	D	Z	 58	F	U0	29.07.2024	     1	L04	Angie Vergara
		2149989	Concrete nail X-C 36 B3 MX	3000	33	X6		      1	      197.117	CLP	  1.000	-1.000		PC					13.09.2024	01.10.2024	     22	       22	       73	       22		  1.000	4537060528	  1.000	11.09.2024	D	Z	 58	F	U0	13.09.2024	     1	L04	Angie Vergara
		2149988	Concrete nail X-C 30 B3 MX	3000	40	X6		      1	      174.765	CLP	  1.000	-1.000		PC					13.09.2024	01.10.2024	     22	       22	       73	       22		  1.000	4537060528	  1.000	11.09.2024	D	Z	 58	F	U0	13.09.2024	     1	L04	Angie Vergara
		2224568	Concrete nail X-C 27 B3 MX	3000	33	X6		      1	      165.497	CLP	  1.000	-1.000		PC					13.09.2024	01.10.2024	     20	       22	       73	       22		  1.000	4537060545	  1.000	11.09.2024	D	Z	 58	F	U0	13.09.2024	     1	L04	Angie Vergara
		237354	Universal nail X-U 62 MX	3000	40	X6		      1	      521.479	CLP	  1.000	-1.000		PC				X	06.09.2024	11.10.2024	      6	       11	       66	       11		  1.000	4537132570	  1.000	25.09.2024	D	N	 60	F	4C	06.09.2024	     1	L04	Angie Vergara
		298510	Wing nut MQM-M10 HDG plus	8330	60	ND		      2	    3.526.675	CLP	  1.000	-1.000		PC				X	06.09.2024	16.10.2024	      2		       68			  1.800	4537216502	  1.600	08.10.2024	B	Y	 54	F	4C	06.09.2024	     1	L06	Reinaldo Vargas
		2172357	Spring washer DIN127A M10 -F	8330	40	X6		      1	      259.354	CLP	  1.000	-1.000		PC				X	06.09.2024	13.11.2024	      2	        6	       88	        6	  4.000		13489211	  4.000	07.11.2024	D	Z	 61	F	4C	06.09.2024	     1	L06	Reinaldo Vargas
		378553	Flush anchor HKD M12x50 bucket	8750	40	X6		      1	      778.246	CLP	  1.000	-1.000		PC				X	27.08.2024	23.10.2024	      3	       24	       70	       24		  1.000	4537216257	  1.000	16.10.2024	D	Y	 60	F	U0	27.08.2024	     1	L02	Ana Sousa
		2105800	Threaded stud X-W6-12-14 B3 P7	3000	40	X5		      5	    1.060.062	CLP	  1.000	-1.000		PC				X	09.09.2024	20.11.2024	      7	       19	       68	       19	    800	  1.200	4536903334	    200	19.08.2024	C	Y	 60	F	4C	13.09.2024	     1	L04	Angie Vergara
		2036087	Stud anchor HSA M6x100 55/45/25	8750	40	X6		      1	      927.996	CLP	  1.000	-1.000		PC				X	10.09.2024	23.10.2024	      3	        1	       52	        1		  1.000	4537217455	    200	16.10.2024	D	N	 62	F	4C	10.09.2024	     1	L02	Ana Sousa
		423473	Screw anchor KH-EZ 1/4"x1 7/8"	3000	40	X5		      1	    4.515.661	CLP	  1.000	-1.000		PC				X	04.09.2024	24.10.2024	      2	       20	       38	       20	  5.000	  2.000	4536680873	  2.000	21.05.2024	D	Y	 14	F	90	04.09.2024	     1	L02	Ana Sousa
		2346071	Elec. connector S-BT-EF M10/15 AN 6 HL	8750	33	Y1		      2	    6.202.253	CLP	  1.000	-1.000		PC				X		21.11.2024	      1		       52		  2.000	    500	4537217375	    500	16.10.2024	D	N	 62	F	4C	06.09.2024	     1	L10	Angie Vergara
		282555	Stud anchor KB3 SS304 3/8x3 3/4 LT	3000	40	X6		      3	    4.782.875	CLP	    950	-950		PC				X	23.08.2024	22.10.2024	     35	       56	       74	       56	  1.200		13474978	    800	15.10.2024	D	Y	 14	F	4M	11.09.2024	     1	L02	Ana Sousa
		2346080	Elec. connector S-BT-ER W10 HC 4/0 HL	3000	40	X5		      4	   17.563.490	CLP	    900	-900		PC				X	13.09.2024	12.12.2024	     18	       42	       95	       42	    500	    500	4537289612	    200	12.09.2024	C	Z	 60	F	4C	13.09.2024	     1	L10	Angie Vergara
		2252195	Elec. connector X-BT-ER M6/3 SN 8	8330	40	X6		      1	   13.728.466	CLP	    900	-900		PC				X		13.09.2024			       44		    900		13418058	    900	22.11.2024	C	Y	 54	F	4C		     1	L04	Angie Vergara
		2107511	A.-Channel HAC-50 106/300 F	3000	60	ND		      2	   24.452.940	CLP	    856	-856		PC				X	05.09.2024	25.09.2024	      6	       12	       40	       12		    856	4536985166	     56	02.09.2024	C	N	 59	F	U4	05.09.2024	     1	L02	Ana Sousa
		298500	Wing nut MQM-M8 HDG plus	8330	60	ND		      2	    2.333.933	CLP	    850	-850		PC				X	06.09.2024	29.10.2024	      2		       68			  1.000	4537216509	    800	08.10.2024	D	Y	 54	F	4C	06.09.2024	     1	L06	Reinaldo Vargas
		3438885	Placa de identificación Cortafuego	3000	40	X0		      4	    1.832.043	CLP	    840	-840		PC				X	05.09.2024	27.09.2024	     39	       66	       70	       66		  2.000	4537057216	  2.000	20.09.2024	D	Y	 20	F	20	06.09.2024	     1	L03	Ana Sousa
